       latitude      longitude observation     resiual  prediction  correction
       34.29293      136.00264     0.03540    -0.01492     0.05032    -0.01770
       35.08572      136.04120     0.05440    -0.01798     0.07238    -0.01572
       34.71065      136.04189     0.03590    -0.02533     0.06123    -0.01663
       36.10973      136.04895     0.10030    -0.00860     0.10890    -0.01319
       34.56703      136.05039     0.03800    -0.01937     0.05737    -0.01700
       35.46629      136.05367     0.06040    -0.02481     0.08521    -0.01477
       34.86933      136.05483     0.03740    -0.02848     0.06588    -0.01623
       35.83684      136.05598     0.07780    -0.02091     0.09871    -0.01385
       35.31897      136.06283     0.06710    -0.01316     0.08026    -0.01513
       35.60256      136.10581     0.06500    -0.02592     0.09092    -0.01441
       34.98638      136.14504     0.04870    -0.02150     0.07020    -0.01593
       35.09473      136.15823     0.06010    -0.01373     0.07383    -0.01565
       36.23117      136.17297     0.10410    -0.01283     0.11693    -0.01283
       34.49387      136.17315     0.02480    -0.03119     0.05599    -0.01713
       34.74287      136.18345     0.03140    -0.03164     0.06304    -0.01650
       35.96889      136.18499     0.08300    -0.02362     0.10662    -0.01348
       35.79278      136.19739     0.07440    -0.02546     0.09986    -0.01392
       35.55733      136.19795     0.06820    -0.02255     0.09075    -0.01449
       34.06066      136.19836     0.04310    -0.00235     0.04545    -0.01819
       35.26944      136.23561     0.06510    -0.01559     0.08069    -0.01518
       35.42036      136.26475     0.07990    -0.00671     0.08661    -0.01480
       36.14562      136.27894     0.11710     0.00081     0.11629    -0.01301
       34.93073      136.29557     0.05540    -0.01429     0.06969    -0.01599
       34.64875      136.32976     0.03880    -0.02231     0.06111    -0.01668
       34.43314      136.33426     0.03370    -0.02129     0.05499    -0.01721
       35.88822      136.33958     0.08070    -0.02611     0.10681    -0.01362
       34.20816      136.34293     0.04260    -0.00658     0.04918    -0.01777
       36.22956      136.36165     0.10800    -0.01429     0.12229    -0.01276
       34.29793      136.38849     0.02940    -0.02215     0.05155    -0.01753
       36.39446      136.38894     0.11250    -0.01803     0.13053    -0.01234
       34.85490      136.39326     0.06300    -0.00495     0.06795    -0.01615
       34.60333      136.43194     0.04650    -0.01376     0.06026    -0.01675
       35.35973      136.47031     0.09070     0.00353     0.08717    -0.01487
       34.42033      136.47446     0.03700    -0.01811     0.05511    -0.01719
       35.63615      136.48877     0.07380    -0.02523     0.09903    -0.01417
       34.75900      136.50229     0.06450    -0.00104     0.06554    -0.01633
       35.10476      136.50376     0.05680    -0.02088     0.07768    -0.01547
       35.98491      136.50492     0.09550    -0.01962     0.11512    -0.01329
       34.28507      136.54048     0.03600    -0.01557     0.05157    -0.01749
       36.53727      136.54067     0.11190    -0.03079     0.14269    -0.01193
       35.48006      136.54529     0.08300    -0.01028     0.09328    -0.01454
       35.37171      136.54974     0.07230    -0.01648     0.08878    -0.01481
       34.54705      136.55066     0.04850    -0.01059     0.05909    -0.01684
       35.22791      136.59344     0.06220    -0.02126     0.08346    -0.01513
       36.37007      136.60533     0.12770    -0.00919     0.13689    -0.01231
       35.63290      136.61139     0.08290    -0.01830     0.10120    -0.01413
       34.43144      136.62840     0.04380    -0.01210     0.05590    -0.01708
       36.16529      136.63395     0.11960    -0.00793     0.12753    -0.01280
       34.91380      136.63650     0.04590    -0.02591     0.07181    -0.01589
       36.66341      136.64994     0.14190    -0.01155     0.15345    -0.01158
       35.90141      136.65774     0.08770    -0.02731     0.11501    -0.01345
       35.48832      136.68728     0.08500    -0.01096     0.09596    -0.01445
       34.29661      136.69319     0.02880    -0.02338     0.05218    -0.01741
       35.05091      136.69425     0.04690    -0.03059     0.07749    -0.01553
       37.15674      136.71876     0.16770    -0.01328     0.18098    -0.01034
       34.49000      136.72823     0.04440    -0.01358     0.05798    -0.01690
       35.40513      136.72875     0.08250    -0.01035     0.09285    -0.01464
       36.81748      136.75565     0.15610    -0.01024     0.16634    -0.01114
       37.00072      136.77271     0.15780    -0.01880     0.17660    -0.01068
       35.72349      136.78462     0.09600    -0.01310     0.10910    -0.01383
       35.30084      136.78882     0.07610    -0.01293     0.08903    -0.01488
       34.37358      136.80200     0.04040    -0.01422     0.05462    -0.01716
       36.59209      136.80640     0.14770    -0.00900     0.15670    -0.01167
       34.25344      136.82061     0.03320    -0.01795     0.05115    -0.01745
       35.19011      136.82883     0.06730    -0.01735     0.08465    -0.01513
       34.90438      136.83188     0.04660    -0.02633     0.07293    -0.01584
       34.46539      136.85113     0.02740    -0.03016     0.05756    -0.01693
       34.98439      136.86275     0.05030    -0.02604     0.07634    -0.01562
       35.86694      136.86318     0.08830    -0.03015     0.11845    -0.01345
       34.82336      136.86764     0.03040    -0.03966     0.07006    -0.01603
       37.38238      136.88917     0.19400    -0.00816     0.20216    -0.00969
       35.52607      136.90002     0.07670    -0.02473     0.10143    -0.01428
       36.26147      136.90427     0.12660    -0.01534     0.14194    -0.01244
       37.22644      136.90877     0.18800    -0.00816     0.19616    -0.01006
       37.85050      136.91927     0.21540    -0.00669     0.22209    -0.00854
       36.40188      136.92056     0.13500    -0.01581     0.15081    -0.01210
       35.33476      136.92998     0.08030    -0.01223     0.09253    -0.01473
       34.74005      136.93848     0.04880    -0.01854     0.06734    -0.01619
       36.03305      136.95276     0.11960    -0.01069     0.13029    -0.01299
       35.16842      136.96580     0.08430    -0.00093     0.08523    -0.01514
       35.75778      136.97530     0.09140    -0.02384     0.11524    -0.01366
       34.54391      136.98175     0.03170    -0.02881     0.06051    -0.01668
       37.12316      136.99607     0.18040    -0.01623     0.19663    -0.01028
       36.74062      136.99613     0.15670    -0.01796     0.17466    -0.01123
       36.91951      137.02643     0.17630    -0.01074     0.18704    -0.01077
       36.64956      137.03190     0.16970    -0.00131     0.17101    -0.01143
       37.43226      137.03394     0.21380    -0.00125     0.21505    -0.00951
       35.12811      137.04128     0.06510    -0.01910     0.08420    -0.01520
       34.99499      137.05978     0.06830    -0.01011     0.07841    -0.01552
