       latitude      longitude observation     resiual  prediction  correction
       34.29293      136.00264     0.00460    -0.00600     0.01060     0.00749
       35.08572      136.04120     0.01580     0.00276     0.01304     0.00745
       34.71065      136.04189     0.01950     0.00741     0.01209     0.00745
       36.10973      136.04895     0.02040     0.00833     0.01207     0.00744
       34.56703      136.05039     0.01800     0.00636     0.01164     0.00744
       35.46629      136.05367     0.03150     0.01802     0.01348     0.00743
       34.86933      136.05483     0.01730     0.00472     0.01258     0.00743
       35.83684      136.05598     0.00320    -0.00987     0.01307     0.00743
       35.31897      136.06283     0.00070    -0.01274     0.01344     0.00742
       35.60256      136.10581     0.02140     0.00776     0.01364     0.00736
       34.98638      136.14504     0.02900     0.01588     0.01312     0.00731
       35.09473      136.15823     0.01630     0.00289     0.01341     0.00730
       36.23117      136.17297     0.01970     0.00774     0.01196     0.00728
       34.49387      136.17315     0.01320     0.00163     0.01157     0.00728
       34.74287      136.18345     0.02880     0.01631     0.01249     0.00726
       35.96889      136.18499     0.01350     0.00026     0.01324     0.00726
       35.79278      136.19739     0.02240     0.00863     0.01377     0.00725
       35.55733      136.19795     0.02920     0.01517     0.01403     0.00725
       34.06066      136.19836     0.02990     0.02006     0.00984     0.00725
       35.26944      136.23561     0.01750     0.00352     0.01398     0.00720
       35.42036      136.26475     0.01060    -0.00366     0.01426     0.00715
       36.14562      136.27894     0.02400     0.01108     0.01292     0.00714
       34.93073      136.29557     0.01100    -0.00236     0.01336     0.00712
       34.64875      136.32976     0.02000     0.00757     0.01243     0.00707
       34.43314      136.33426     0.02410     0.01255     0.01155     0.00707
       35.88822      136.33958     0.02730     0.01310     0.01420     0.00706
       34.20816      136.34293    -0.00870    -0.01926     0.01056     0.00706
       36.22956      136.36165     0.02780     0.01495     0.01285     0.00703
       34.29793      136.38849    -0.00090    -0.01191     0.01101     0.00699
       36.39446      136.38894     0.00530    -0.00653     0.01183     0.00699
       34.85490      136.39326     0.01210    -0.00125     0.01335     0.00699
       34.60333      136.43194     0.00500    -0.00743     0.01243     0.00694
       35.35973      136.47031     0.01950     0.00451     0.01499     0.00689
       34.42033      136.47446     0.02070     0.00904     0.01166     0.00689
       35.63615      136.48877     0.04270     0.02742     0.01528     0.00686
       34.75900      136.50229     0.00640    -0.00683     0.01323     0.00684
       35.10476      136.50376     0.04840     0.03389     0.01451     0.00684
       35.98491      136.50492     0.04050     0.02576     0.01474     0.00684
       34.28507      136.54048     0.00860    -0.00247     0.01107     0.00680
       36.53727      136.54067     0.01740     0.00613     0.01127     0.00680
       35.48006      136.54529     0.01680     0.00133     0.01547     0.00679
       35.37171      136.54974     0.02500     0.00967     0.01533     0.00678
       34.54705      136.55066     0.02070     0.00834     0.01236     0.00678
       35.22791      136.59344     0.02180     0.00662     0.01518     0.00673
       36.37007      136.60533     0.01790     0.00479     0.01311     0.00672
       35.63290      136.61139     0.01630     0.00044     0.01586     0.00671
       34.43144      136.62840     0.01970     0.00782     0.01188     0.00668
       36.16529      136.63395     0.02260     0.00796     0.01464     0.00668
       34.91380      136.63650     0.00720    -0.00700     0.01420     0.00667
       36.66341      136.64994     0.01490     0.00451     0.01039     0.00665
       35.90141      136.65774     0.03060     0.01480     0.01580     0.00665
       35.48832      136.68728     0.03130     0.01518     0.01612     0.00660
       34.29661      136.69319     0.02850     0.01727     0.01123     0.00660
       35.05091      136.69425     0.02230     0.00738     0.01492     0.00660
       37.15674      136.71876     0.00870     0.00591     0.00279     0.00657
       34.49000      136.72823     0.01860     0.00630     0.01230     0.00655
       35.40513      136.72875     0.02510     0.00894     0.01616     0.00655
       36.81748      136.75565     0.00560    -0.00317     0.00877     0.00652
       37.00072      136.77271     0.00530    -0.00053     0.00583     0.00649
       35.72349      136.78462     0.03220     0.01546     0.01674     0.00647
       35.30084      136.78882     0.01130    -0.00484     0.01614     0.00647
       34.37358      136.80200     0.02580     0.01408     0.01172     0.00646
       36.59209      136.80640     0.01870     0.00668     0.01202     0.00645
       34.25344      136.82061     0.02160     0.01055     0.01105     0.00643
       35.19011      136.82883     0.02070     0.00478     0.01592     0.00642
       34.90438      136.83188     0.02800     0.01334     0.01466     0.00642
       34.46539      136.85113     0.00450    -0.00779     0.01229     0.00639
       34.98439      136.86275     0.01830     0.00316     0.01514     0.00638
       35.86694      136.86318     0.02550     0.00845     0.01705     0.00638
       34.82336      136.86764     0.00020    -0.01413     0.01433     0.00638
       37.38238      136.88917     0.00790     0.00999    -0.00209     0.00634
       35.52607      136.90002     0.00960    -0.00761     0.01721     0.00633
       36.26147      136.90427     0.01580     0.00012     0.01568     0.00633
       37.22644      136.90877     0.03380     0.03222     0.00158     0.00631
       37.85050      136.91927    -0.01770    -0.00268    -0.01502     0.00631
       36.40188      136.92056     0.02190     0.00723     0.01467     0.00630
       35.33476      136.92998     0.02430     0.00745     0.01685     0.00629
       34.74005      136.93848     0.04030     0.02629     0.01401     0.00628
       36.03305      136.95276     0.01640    -0.00078     0.01718     0.00626
       35.16842      136.96580     0.01930     0.00297     0.01633     0.00624
       35.75778      136.97530     0.03050     0.01267     0.01783     0.00623
       34.54391      136.98175     0.01580     0.00291     0.01289     0.00622
       37.12316      136.99607     0.02330     0.01929     0.00401     0.00620
       36.74062      136.99613     0.01630     0.00524     0.01106     0.00620
       36.91951      137.02643     0.02540     0.01719     0.00821     0.00617
       36.64956      137.03190     0.04750     0.03493     0.01257     0.00615
       37.43226      137.03394     0.00270     0.00623    -0.00353     0.00615
       35.12811      137.04128     0.03040     0.01399     0.01641     0.00614
       34.99499      137.05978     0.02360     0.00784     0.01576     0.00612
       34.60924      137.06807     0.00730    -0.00610     0.01340     0.00610
       35.23909      137.07357     0.01530    -0.00177     0.01707     0.00610
       36.14026      137.08053     0.01540    -0.00220     0.01760     0.00608
       35.36737      137.11023     0.01730    -0.00048     0.01778     0.00605
       34.79487      137.11900     0.03440     0.01971     0.01469     0.00604
       35.47870      137.12469     0.02230     0.00405     0.01825     0.00604
       37.30697      137.13854    -0.00350    -0.00327    -0.00023     0.00602
       36.33551      137.14717     0.03280     0.01601     0.01679     0.00600
       34.91734      137.15239     0.01700     0.00145     0.01555     0.00600
       36.75795      137.15447     0.03230     0.02063     0.01167     0.00599
       35.61209      137.17414     0.02810     0.00923     0.01887     0.00597
       36.63434      137.19520     0.02510     0.01129     0.01381     0.00594
       35.91163      137.20067     0.03160     0.01242     0.01918     0.00594
       36.47280      137.23922     0.00000    -0.01615     0.01615     0.00589
       35.80048      137.24837     0.04240     0.02282     0.01958     0.00588
       35.30055      137.25232     0.02410     0.00597     0.01813     0.00586
       35.13875      137.25356     0.01230    -0.00493     0.01723     0.00586
       37.44603      137.27005    -0.00440    -0.00008    -0.00432     0.00584
       34.64866      137.27784     0.03020     0.01628     0.01392     0.00583
       34.91975      137.29994     0.01150    -0.00442     0.01592     0.00581
       35.52313      137.30909     0.01540    -0.00400     0.01940     0.00579
       35.03946      137.31316     0.01370    -0.00309     0.01679     0.00578
       34.78591      137.33877     0.01540     0.00037     0.01503     0.00575
       36.13599      137.34791     0.01310    -0.00655     0.01965     0.00574
       36.28564      137.36302     0.02830     0.00943     0.01887     0.00572
       36.73696      137.36951     0.02730     0.01393     0.01337     0.00572
       35.26197      137.40561     0.02780     0.00922     0.01858     0.00567
       34.96748      137.42313     0.01120    -0.00538     0.01658     0.00564
       35.65719      137.42477     0.03160     0.01104     0.02056     0.00564
       34.86482      137.43400     0.00090    -0.01491     0.01581     0.00564
       36.57871      137.43990     0.03120     0.01482     0.01638     0.00562
       34.68038      137.44245     0.02620     0.01186     0.01434     0.00562
       35.81555      137.45088     0.02850     0.00745     0.02105     0.00560
       35.39676      137.46757     0.03940     0.01971     0.01969     0.00559
       36.92896      137.48723     0.00520    -0.00506     0.01026     0.00556
       34.71805      137.51493     0.01060    -0.00413     0.01473     0.00553
       35.57509      137.52878     0.01500    -0.00595     0.02095     0.00551
       35.97346      137.53487     0.01650    -0.00521     0.02171     0.00549
       36.86434      137.55133     0.01140    -0.00070     0.01210     0.00548
       34.80873      137.55434     0.01760     0.00205     0.01555     0.00548
       35.10002      137.57533     0.02070     0.00263     0.01807     0.00544
       34.93768      137.57549     0.01730     0.00060     0.01670     0.00544
       35.24700      137.58767     0.03360     0.01433     0.01927     0.00543
       35.88000      137.59827     0.02830     0.00602     0.02228     0.00541
       35.66123      137.62016     0.02380     0.00187     0.02193     0.00538
       34.70212      137.63688     0.00810    -0.00659     0.01469     0.00537
       34.83533      137.67234     0.01380    -0.00216     0.01596     0.00532
       35.34373      137.67640    -0.00910    -0.02951     0.02041     0.00532
       34.75204      137.68078     0.01330    -0.00189     0.01519     0.00530
       36.08466      137.68263     0.02880     0.00597     0.02283     0.00530
       35.07929      137.69524     0.01590    -0.00236     0.01826     0.00529
       35.78362      137.69626     0.02640     0.00347     0.02293     0.00529
       34.67231      137.72338     0.01510     0.00064     0.01446     0.00525
       35.94460      137.78544     0.03190     0.00791     0.02399     0.00517
       34.79284      137.79179     0.01340    -0.00229     0.01569     0.00516
       35.77753      137.81448     0.04040     0.01649     0.02391     0.00513
       35.52109      137.81524     0.03170     0.00919     0.02251     0.00513
       34.94134      137.81794     0.01770     0.00047     0.01723     0.00513
       34.67188      137.82342     0.02360     0.00912     0.01448     0.00513
       36.49977      137.85112     0.02620     0.00486     0.02134     0.00508
       35.16045      137.86876     0.02620     0.00660     0.01960     0.00506
       36.22837      137.87175     0.04490     0.02072     0.02418     0.00506
       36.70647      137.87233     0.05560     0.03753     0.01807     0.00506
       37.04517      137.87385     0.00900    -0.00031     0.00931     0.00505
       36.95087      137.89387     0.02470     0.01243     0.01227     0.00503
       36.32237      137.90282     0.04690     0.02303     0.02387     0.00502
       34.75539      137.91128     0.02600     0.01063     0.01537     0.00500
       35.31714      137.92527     0.02630     0.00490     0.02140     0.00498
       34.84386      137.93215     0.01640     0.00005     0.01635     0.00498
       34.67042      137.93744     0.01870     0.00425     0.01445     0.00497
       35.92358      137.94381     0.02710     0.00157     0.02553     0.00497
       34.90205      137.94681     0.02250     0.00549     0.01701     0.00495
       35.03152      137.98042     0.01600    -0.00253     0.01853     0.00492
       36.12111      137.98301     0.03990     0.01400     0.02590     0.00491
       35.72629      137.98389     0.02640     0.00126     0.02514     0.00491
       36.23903      137.98455     0.04250     0.01707     0.02543     0.00491
       34.78595      138.01753    -0.00200    -0.01774     0.01574     0.00487
       35.55613      138.03832     0.03450     0.01018     0.02432     0.00484
       34.66641      138.04652    -0.00310    -0.01745     0.01435     0.00483
       34.71525      138.05354     0.00720    -0.00771     0.01491     0.00482
       34.93980      138.07486     0.01360    -0.00400     0.01760     0.00479
       35.04488      138.08168     0.02260     0.00370     0.01890     0.00478
       35.87842      138.09571     0.03440     0.00743     0.02697     0.00476
       36.70665      138.09673     0.04940     0.02897     0.02043     0.00476
       34.67992      138.09829     0.02810     0.01363     0.01447     0.00476
       37.16079      138.10019     0.01660     0.01030     0.00630     0.00476
       36.52360      138.12095     0.02800     0.00381     0.02419     0.00473
       34.64290      138.12929     0.01550     0.00150     0.01400     0.00472
       35.10391      138.13490     0.02210     0.00234     0.01976     0.00471
       34.75776      138.13692     0.00810    -0.00729     0.01539     0.00471
       34.63454      138.15904     0.03180     0.01794     0.01386     0.00468
       34.84941      138.17674     0.02960     0.01307     0.01653     0.00465
       34.67775      138.18296     0.00960    -0.00476     0.01436     0.00465
       35.32207      138.18578     0.03160     0.00890     0.02270     0.00465
       36.86540      138.19867     0.03120     0.01380     0.01740     0.00463
       35.06697      138.20998     0.01260    -0.00684     0.01944     0.00462
       36.02616      138.21448     0.02780    -0.00096     0.02876     0.00460
       34.60315      138.21525     0.02390     0.01050     0.01340     0.00460
       36.20847      138.21649     0.03540     0.00685     0.02855     0.00460
       34.73831      138.22560     0.02390     0.00882     0.01508     0.00459
       37.05668      138.24259     0.00990    -0.00127     0.01117     0.00457
       36.66515      138.24747     0.03330     0.01011     0.02319     0.00457
       34.95435      138.24990     0.05080     0.03284     0.01796     0.00456
       35.20098      138.25351     0.03890     0.01752     0.02138     0.00456
       37.81590      138.27307    -0.01410     0.01552    -0.02962     0.00453
       35.85598      138.31640     0.05220     0.02291     0.02929     0.00448
       36.38618      138.32252     0.02820    -0.00060     0.02880     0.00447
       34.83617      138.33122     0.01000    -0.00631     0.01631     0.00446
       37.23112      138.33357     0.01080     0.00686     0.00394     0.00445
       36.13311      138.36204     0.04810     0.01731     0.03079     0.00442
       36.26099      138.36604     0.04120     0.01074     0.03046     0.00441
       35.10346      138.36870     0.02460     0.00435     0.02025     0.00440
       38.02369      138.36988    -0.03910     0.00716    -0.04626     0.00440
       34.99052      138.37830     0.04000     0.02145     0.01855     0.00439
       36.80171      138.43617     0.05280     0.03073     0.02207     0.00432
       35.90493      138.44421     0.04480     0.01362     0.03118     0.00431
       35.44358      138.44525     0.02740     0.00166     0.02574     0.00430
       35.28946      138.44570     0.02240    -0.00096     0.02336     0.00430
       35.67369      138.45682     0.03480     0.00578     0.02902     0.00429
       37.10708      138.45736     0.02220     0.01179     0.01041     0.00429
       36.13064      138.46097     0.05450     0.02223     0.03227     0.00428
       38.06328      138.47168    -0.04290     0.00966    -0.05256     0.00427
       36.28471      138.49928     0.04740     0.01494     0.03246     0.00423
       38.31935      138.51309    -0.06960     0.00464    -0.07424     0.00421
       34.98650      138.51568     0.03190     0.01339     0.01851     0.00421
       37.34854      138.51637     0.01870     0.02110    -0.00240     0.00421
       35.06741      138.52471     0.04410     0.02424     0.01986     0.00420
       36.50800      138.55271     0.05360     0.02270     0.03090     0.00417
       35.36208      138.56343     0.03950     0.01444     0.02506     0.00415
       37.39768      138.57440     0.01040     0.01607    -0.00567     0.00413
       35.97415      138.58303     0.04840     0.01483     0.03357     0.00413
