       latitude      longitude observation     resiual  prediction  correction
       35.61209      137.17414     0.09330    -0.01689     0.11019     0.00000
       36.63434      137.19520     0.15980    -0.01774     0.17754     0.00000
       35.91163      137.20067     0.12020    -0.00894     0.12914     0.00000
       36.47280      137.23922     0.16220    -0.00646     0.16866     0.00000
       35.80048      137.24837     0.09540    -0.02795     0.12335     0.00000
       35.30055      137.25232     0.07010    -0.02402     0.09412     0.00000
       35.13875      137.25356     0.06340    -0.02242     0.08582     0.00000
       37.44603      137.27005     0.21730    -0.01680     0.23410     0.00000
       34.64866      137.27784     0.04490    -0.01945     0.06435     0.00000
       34.91975      137.29994     0.05510    -0.02071     0.07581     0.00000
       35.52313      137.30909     0.08920    -0.01835     0.10755     0.00000
       35.03946      137.31316     0.05240    -0.02909     0.08149     0.00000
       34.78591      137.33877     0.05410    -0.01603     0.07013     0.00000
       36.13599      137.34791     0.12170    -0.02765     0.14935     0.00000
       36.28564      137.36302     0.14550    -0.01546     0.16096     0.00000
       36.73696      137.36951     0.17800    -0.01722     0.19522     0.00000
       35.26197      137.40561     0.07260    -0.02133     0.09393     0.00000
       34.96748      137.42313     0.06110    -0.01770     0.07880     0.00000
       35.65719      137.42477     0.10010    -0.01821     0.11831     0.00000
       34.86482      137.43400     0.05110    -0.02293     0.07403     0.00000
       36.57871      137.43990     0.16710    -0.02034     0.18744     0.00000
       34.68038      137.44245     0.03890    -0.02712     0.06602     0.00000
       35.81555      137.45088     0.11550    -0.01428     0.12978     0.00000
       35.39676      137.46757     0.07760    -0.02499     0.10259     0.00000
       36.92896      137.48723     0.19990    -0.01824     0.21814     0.00000
       34.71805      137.51493     0.04380    -0.02398     0.06778     0.00000
       35.57509      137.52878     0.08310    -0.03194     0.11504     0.00000
       35.97346      137.53487     0.12050    -0.02352     0.14402     0.00000
       36.86434      137.55133     0.20150    -0.01647     0.21797     0.00000
       34.80873      137.55434     0.04480    -0.02713     0.07193     0.00000
       35.10002      137.57533     0.06720    -0.01949     0.08669     0.00000
       34.93768      137.57549     0.05400    -0.02420     0.07820     0.00000
       35.24700      137.58767     0.07030    -0.02487     0.09517     0.00000
       35.88000      137.59827     0.12020    -0.01867     0.13887     0.00000
       35.66123      137.62016     0.09550    -0.02753     0.12303     0.00000
       34.70212      137.63688     0.02800    -0.03932     0.06732     0.00000
       34.83533      137.67234     0.05520    -0.01837     0.07357     0.00000
       35.34373      137.67640     0.05920    -0.04304     0.10224     0.00000
       34.75204      137.68078     0.04220    -0.02745     0.06965     0.00000
       36.08466      137.68263     0.13390    -0.02472     0.15862     0.00000
       35.07929      137.69524     0.06570    -0.02075     0.08645     0.00000
       35.78362      137.69626     0.11640    -0.01783     0.13423     0.00000
       34.67231      137.72338     0.05550    -0.01059     0.06609     0.00000
       35.94460      137.78544     0.12370    -0.02674     0.15044     0.00000
       34.79284      137.79179     0.04630    -0.02549     0.07179     0.00000
       35.77753      137.81448     0.10800    -0.02907     0.13707     0.00000
       35.52109      137.81524     0.09090    -0.02587     0.11677     0.00000
       34.94134      137.81794     0.04410    -0.03540     0.07950     0.00000
       34.67188      137.82342     0.04020    -0.02591     0.06611     0.00000
       36.49977      137.85112     0.18070    -0.02587     0.20657     0.00000
       35.16045      137.86876     0.06840    -0.02420     0.09260     0.00000
       36.22837      137.87175     0.15530    -0.02533     0.18063     0.00000
       36.70647      137.87233     0.20490    -0.02426     0.22916     0.00000
       37.04517      137.87385     0.26070    -0.00222     0.26292     0.00000
       36.95087      137.89387     0.23700    -0.01878     0.25578     0.00000
       36.32237      137.90282     0.16920    -0.02260     0.19180     0.00000
       34.75539      137.91128     0.04950    -0.02058     0.07008     0.00000
       35.31714      137.92527     0.08360    -0.02000     0.10360     0.00000
       34.84386      137.93215     0.05840    -0.01621     0.07461     0.00000
       34.67042      137.93744     0.03270    -0.03330     0.06600     0.00000
       35.92358      137.94381     0.12970    -0.02453     0.15423     0.00000
       34.90205      137.94681     0.05140    -0.02636     0.07776     0.00000
       35.03152      137.98042     0.06410    -0.02124     0.08534     0.00000
       36.12111      137.98301     0.15510    -0.02029     0.17539     0.00000
       35.72629      137.98389     0.11560    -0.02174     0.13734     0.00000
       36.23903      137.98455     0.16940    -0.01839     0.18779     0.00000
