       latitude      longitude observation     resiual  prediction  correction
       34.29293      136.00264    -0.00630    -0.00227    -0.00403     0.00000
       35.08572      136.04120     0.02390     0.02441    -0.00051     0.00000
       34.71065      136.04189    -0.00210     0.00034    -0.00244     0.00000
       36.10973      136.04895     0.01130     0.00489     0.00641     0.00000
       34.56703      136.05039     0.00510     0.00821    -0.00311     0.00000
       35.46629      136.05367    -0.03930    -0.04107     0.00177     0.00000
       34.86933      136.05483    -0.00940    -0.00769    -0.00171     0.00000
       35.83684      136.05598     0.01130     0.00696     0.00434     0.00000
       35.31897      136.06283     0.01430     0.01350     0.00080     0.00000
       35.60256      136.10581    -0.01800    -0.02056     0.00256     0.00000
       34.98638      136.14504     0.00710     0.00849    -0.00139     0.00000
       35.09473      136.15823    -0.01630    -0.01548    -0.00082     0.00000
       36.23117      136.17297    -0.02600    -0.03328     0.00728     0.00000
       34.49387      136.17315    -0.00130     0.00256    -0.00386     0.00000
       34.74287      136.18345     0.03180     0.03458    -0.00278     0.00000
       35.96889      136.18499    -0.01630    -0.02144     0.00514     0.00000
       35.79278      136.19739    -0.02670    -0.03045     0.00375     0.00000
       35.55733      136.19795    -0.02300    -0.02503     0.00203     0.00000
       34.06066      136.19836     0.02150     0.02703    -0.00553     0.00000
       35.26944      136.23561     0.01320     0.01321    -0.00001     0.00000
       35.42036      136.26475    -0.00420    -0.00510     0.00090     0.00000
       36.14562      136.27894    -0.01430    -0.02076     0.00646     0.00000
       34.93073      136.29557    -0.01440    -0.01218    -0.00222     0.00000
       34.64875      136.32976    -0.01290    -0.00912    -0.00378     0.00000
       34.43314      136.33426    -0.01900    -0.01427    -0.00473     0.00000
       35.88822      136.33958     0.00560     0.00138     0.00422     0.00000
       34.20816      136.34293     0.02280     0.02842    -0.00562     0.00000
       36.22956      136.36165    -0.02530    -0.03240     0.00710     0.00000
       34.29793      136.38849    -0.02030    -0.01482    -0.00548     0.00000
       36.39446      136.38894    -0.01540    -0.02396     0.00856     0.00000
       34.85490      136.39326    -0.01040    -0.00740    -0.00300     0.00000
       34.60333      136.43194     0.01330     0.01770    -0.00440     0.00000
       35.35973      136.47031    -0.02950    -0.02932    -0.00018     0.00000
       34.42033      136.47446    -0.00340     0.00197    -0.00537     0.00000
       35.63615      136.48877     0.05130     0.04949     0.00181     0.00000
       34.75900      136.50229    -0.03040    -0.02645    -0.00395     0.00000
       35.10476      136.50376    -0.00800    -0.00600    -0.00200     0.00000
       35.98491      136.50492     0.02310     0.01840     0.00470     0.00000
       34.28507      136.54048     0.03430     0.04049    -0.00619     0.00000
       36.53727      136.54067     0.01590     0.00603     0.00987     0.00000
       35.48006      136.54529     0.02050     0.02007     0.00043     0.00000
       35.37171      136.54974     0.00080     0.00118    -0.00038     0.00000
       34.54705      136.55066     0.01600     0.02117    -0.00517     0.00000
       35.22791      136.59344    -0.01940    -0.01784    -0.00156     0.00000
       36.37007      136.60533     0.00520    -0.00297     0.00817     0.00000
       35.63290      136.61139     0.01150     0.01010     0.00140     0.00000
       34.43144      136.62840    -0.03200    -0.02598    -0.00602     0.00000
       36.16529      136.63395    -0.01150    -0.01762     0.00612     0.00000
       34.91380      136.63650    -0.01020    -0.00650    -0.00370     0.00000
       36.66341      136.64994    -0.00680    -0.01795     0.01115     0.00000
       35.90141      136.65774    -0.01980    -0.02338     0.00358     0.00000
       35.48832      136.68728     0.01320     0.01323    -0.00003     0.00000
       34.29661      136.69319     0.02450     0.03136    -0.00686     0.00000
       35.05091      136.69425     0.00060     0.00374    -0.00314     0.00000
       37.15674      136.71876    -0.01490    -0.03133     0.01643     0.00000
       34.49000      136.72823    -0.00830    -0.00204    -0.00626     0.00000
       35.40513      136.72875     0.00540     0.00624    -0.00084     0.00000
       36.81748      136.75565    -0.00630    -0.01914     0.01284     0.00000
       37.00072      136.77271     0.01330    -0.00157     0.01487     0.00000
       35.72349      136.78462    -0.00860    -0.01018     0.00158     0.00000
       35.30084      136.78882    -0.00200    -0.00013    -0.00187     0.00000
       34.37358      136.80200     0.03530     0.04240    -0.00710     0.00000
       36.59209      136.80640    -0.00260    -0.01296     0.01036     0.00000
       34.25344      136.82061    -0.00550     0.00215    -0.00765     0.00000
       35.19011      136.82883     0.00240     0.00525    -0.00285     0.00000
       34.90438      136.83188    -0.00580    -0.00111    -0.00469     0.00000
       34.46539      136.85113    -0.01660    -0.00961    -0.00699     0.00000
       34.98439      136.86275    -0.00230     0.00207    -0.00437     0.00000
       35.86694      136.86318    -0.03590    -0.03853     0.00263     0.00000
       34.82336      136.86764     0.01240     0.01773    -0.00533     0.00000
       37.38238      136.88917    -0.01060    -0.02990     0.01930     0.00000
       35.52607      136.90002     0.00630     0.00690    -0.00060     0.00000
       36.26147      136.90427     0.01680     0.01022     0.00658     0.00000
       37.22644      136.90877     0.01440    -0.00325     0.01765     0.00000
       37.85050      136.91927     0.01930    -0.00475     0.02405     0.00000
       36.40188      136.92056     0.01670     0.00858     0.00812     0.00000
       35.33476      136.92998    -0.02220    -0.01992    -0.00228     0.00000
       34.74005      136.93848     0.01190     0.01806    -0.00616     0.00000
       36.03305      136.95276     0.00560     0.00160     0.00400     0.00000
       35.16842      136.96580    -0.01600    -0.01231    -0.00369     0.00000
       35.75778      136.97530    -0.00040    -0.00156     0.00116     0.00000
       34.54391      136.98175     0.04120     0.04855    -0.00735     0.00000
       37.12316      136.99607     0.00770    -0.00896     0.01666     0.00000
       36.74062      136.99613    -0.01160    -0.02364     0.01204     0.00000
       36.91951      137.02643    -0.02380    -0.03804     0.01424     0.00000
       36.64956      137.03190    -0.01210    -0.02302     0.01092     0.00000
       37.43226      137.03394     0.01280    -0.00757     0.02037     0.00000
       35.12811      137.04128    -0.01910    -0.01472    -0.00438     0.00000
       34.99499      137.05978    -0.00450     0.00087    -0.00537     0.00000
       34.60924      137.06807     0.00020     0.00775    -0.00755     0.00000
       35.23909      137.07357    -0.02680    -0.02304    -0.00376     0.00000
       36.14026      137.08053    -0.03640    -0.04117     0.00477     0.00000
       35.36737      137.11023    -0.02160    -0.01864    -0.00296     0.00000
       34.79487      137.11900    -0.00990    -0.00300    -0.00690     0.00000
       35.47870      137.12469     0.00610     0.00820    -0.00210     0.00000
       37.30697      137.13854     0.04850     0.02926     0.01924     0.00000
       36.33551      137.14717     0.01600     0.00913     0.00687     0.00000
       34.91734      137.15239    -0.01020    -0.00380    -0.00640     0.00000
       36.75795      137.15447     0.00700    -0.00522     0.01222     0.00000
       35.61209      137.17414     0.01830     0.01945    -0.00115     0.00000
       36.63434      137.19520     0.00130    -0.00928     0.01058     0.00000
       35.91163      137.20067    -0.00520    -0.00696     0.00176     0.00000
       36.47280      137.23922    -0.02120    -0.02959     0.00839     0.00000
       35.80048      137.24837    -0.00270    -0.00304     0.00034     0.00000
       35.30055      137.25232    -0.00300     0.00132    -0.00432     0.00000
       35.13875      137.25356    -0.01110    -0.00554    -0.00556     0.00000
       37.44603      137.27005     0.00420    -0.01721     0.02141     0.00000
       34.64866      137.27784    -0.00290     0.00576    -0.00866     0.00000
       34.91975      137.29994    -0.02310    -0.01578    -0.00732     0.00000
       35.52313      137.30909     0.00120     0.00395    -0.00275     0.00000
       35.03946      137.31316     0.01850     0.02514    -0.00664     0.00000
       34.78591      137.33877    -0.00270     0.00566    -0.00836     0.00000
       36.13599      137.34791    -0.01700    -0.02073     0.00373     0.00000
       36.28564      137.36302    -0.00270    -0.00828     0.00558     0.00000
       36.73696      137.36951     0.00010    -0.01169     0.01179     0.00000
       35.26197      137.40561    -0.02500    -0.01937    -0.00563     0.00000
       34.96748      137.42313    -0.00710     0.00077    -0.00787     0.00000
       35.65719      137.42477    -0.01560    -0.01345    -0.00215     0.00000
