       latitude      longitude observation     resiual  prediction  correction
       34.29293      136.00264     0.00460    -0.00595     0.01055     0.00000
       35.08572      136.04120     0.01580     0.00278     0.01302     0.00000
       34.71065      136.04189     0.01950     0.00745     0.01205     0.00000
       36.10973      136.04895     0.02040     0.00827     0.01213     0.00000
       34.56703      136.05039     0.01800     0.00641     0.01159     0.00000
       35.46629      136.05367     0.03150     0.01802     0.01348     0.00000
       34.86933      136.05483     0.01730     0.00476     0.01254     0.00000
       35.83684      136.05598     0.00320    -0.00990     0.01310     0.00000
       35.31897      136.06283     0.00070    -0.01273     0.01343     0.00000
       35.60256      136.10581     0.02140     0.00775     0.01365     0.00000
       34.98638      136.14504     0.02900     0.01592     0.01308     0.00000
       35.09473      136.15823     0.01630     0.00292     0.01338     0.00000
       36.23117      136.17297     0.01970     0.00766     0.01204     0.00000
       34.49387      136.17315     0.01320     0.00168     0.01152     0.00000
       34.74287      136.18345     0.02880     0.01636     0.01244     0.00000
       35.96889      136.18499     0.01350     0.00022     0.01328     0.00000
       35.79278      136.19739     0.02240     0.00860     0.01380     0.00000
       35.55733      136.19795     0.02920     0.01516     0.01404     0.00000
       34.06066      136.19836     0.02990     0.02012     0.00978     0.00000
       35.26944      136.23561     0.01750     0.00354     0.01396     0.00000
       35.42036      136.26475     0.01060    -0.00365     0.01425     0.00000
       36.14562      136.27894     0.02400     0.01102     0.01298     0.00000
       34.93073      136.29557     0.01100    -0.00232     0.01332     0.00000
       34.64875      136.32976     0.02000     0.00762     0.01238     0.00000
       34.43314      136.33426     0.02410     0.01261     0.01149     0.00000
       35.88822      136.33958     0.02730     0.01306     0.01424     0.00000
       34.20816      136.34293    -0.00870    -0.01920     0.01050     0.00000
       36.22956      136.36165     0.02780     0.01488     0.01292     0.00000
       34.29793      136.38849    -0.00090    -0.01184     0.01094     0.00000
       36.39446      136.38894     0.00530    -0.00662     0.01192     0.00000
       34.85490      136.39326     0.01210    -0.00120     0.01330     0.00000
       34.60333      136.43194     0.00500    -0.00736     0.01236     0.00000
       35.35973      136.47031     0.01950     0.00453     0.01497     0.00000
       34.42033      136.47446     0.02070     0.00911     0.01159     0.00000
       35.63615      136.48877     0.04270     0.02742     0.01528     0.00000
