37.65911	-118.4278	-0.0001019905	0.05
37.65979	-118.1445	0.0001452676	0.05
37.88435	-118.4291	0.0004711053	0.05
37.82862	-118.2158	0.0004285574	0.05
37.82879	-118.0738	-0.0001521089	0.05
37.94124	-118.2161	-0.0008992409	0.05
37.90083	-118.1251	-0.003190938	0.05
37.89861	-118.091	-0.005027686	0.05
37.92786	-118.1251	-0.0080448	0.05
37.92112	-118.0995	-0.009675567	0.05
37.91889	-118.0825	-0.01055187	0.05
37.93464	-118.0995	-0.01457448	0.05
37.93465	-118.0825	-0.01738006	0.05
37.90088	-118.0568	-0.007455877	0.05
37.90089	-118.0227	-0.008536368	0.05
37.92115	-118.0654	-0.0134048	0.05
37.92115	-118.0483	-0.01481537	0.05
37.93466	-118.0654	-0.02016631	0.05
37.93467	-118.0455	-0.02282458	0.05
37.92116	-118.0284	-0.01726983	0.05
37.92117	-118.0114	-0.01660869	0.05
37.93018	-118.0256	-0.02202114	0.05
37.93918	-118.0313	-0.02842389	0.05
37.93468	-118.0114	-0.02628067	0.05
37.95488	-118.128	-0.01108995	0.05
37.94815	-118.0996	-0.01782207	0.05
37.94817	-118.0825	-0.02424105	0.05
37.96167	-118.0996	-0.02018576	0.05
37.95943	-118.0825	-0.02665938	0.05
37.97515	-118.1366	-0.007046104	0.05
37.97966	-118.1224	-0.008494603	0.05
37.99091	-118.1366	-0.002197375	0.05
37.98868	-118.1195	-0.004330512	0.05
37.97519	-118.0939	-0.01891968	0.05
37.97968	-118.1053	-0.0127711	0.05
37.97069	-118.0882	-0.02478426	0.05
37.9707	-118.0768	-0.02930027	0.05
37.97969	-118.0882	-0.0187435	0.05
37.99095	-118.0996	-0.006282478	0.05
37.94818	-118.0654	-0.02837501	0.05
37.95269	-118.054	-0.03280666	0.05
37.96169	-118.0654	-0.03330179	0.05
37.9617	-118.0484	-0.03842629	0.05
37.95044	-118.0313	-0.03588454	0.05
37.9482	-118.0142	-0.03571514	0.05
37.96171	-118.0313	-0.04180019	0.05
37.96171	-118.0142	-0.04398562	0.05
37.9707	-118.0711	-0.0325478	0.05
37.97971	-118.0598	-0.02929108	0.05
37.97522	-118.0427	-0.0394306	0.05
37.97972	-118.0256	-0.03996404	0.05
37.97072	-118.0085	-0.04671938	0.05
37.97973	-118.0085	-0.04194625	0.05
37.6598	-117.8612	-0.0001452399	0.05
37.65913	-117.5778	-3.417417e-05	0.05
37.8288	-117.9318	-0.0002859828	0.05
37.82863	-117.7899	-0.0001280102	0.05
37.90089	-117.9829	-0.007972619	0.05
37.90088	-117.9488	-0.005306819	0.05
37.92117	-117.9915	-0.0157158	0.05
37.92117	-117.9744	-0.01497223	0.05
37.93018	-117.9972	-0.02156121	0.05
37.93018	-117.9858	-0.02209735	0.05
37.93919	-117.9972	-0.02827316	0.05
37.93918	-117.9801	-0.02631134	0.05
37.93918	-117.9687	-0.02432493	0.05
37.92116	-117.9574	-0.01129386	0.05
37.92115	-117.9374	-0.009082659	0.05
37.93467	-117.9573	-0.01940009	0.05
37.93242	-117.9403	-0.01401465	0.05
37.91436	-117.8977	-0.002670175	0.05
37.94819	-117.9915	-0.03345044	0.05
37.9527	-117.9915	-0.03890939	0.05
37.94369	-117.9801	-0.03049601	0.05
37.9527	-117.9744	-0.03511783	0.05
37.96171	-117.9915	-0.04396169	0.05
37.96621	-117.9744	-0.04479228	0.05
37.94819	-117.9573	-0.02830097	0.05
37.94367	-117.9346	-0.01931444	0.05
37.95269	-117.946	-0.02608537	0.05
37.96621	-117.963	-0.04160939	0.05
37.95719	-117.9346	-0.02397403	0.05
37.96619	-117.9346	-0.02812949	0.05
37.97072	-117.9972	-0.04789737	0.05
37.97072	-117.9915	-0.04710901	0.05
37.97973	-117.9972	-0.0428548	0.05
37.97747	-117.9744	-0.04245738	0.05
37.97747	-117.9573	-0.03691731	0.05
37.9707	-117.9346	-0.02754542	0.05
37.97971	-117.9402	-0.02953436	0.05
37.94817	-117.9232	-0.01547646	0.05
37.94816	-117.9061	-0.008352708	0.05
37.95943	-117.9203	-0.01766921	0.05
37.96167	-117.9061	-0.01035052	0.05
37.95489	-117.8805	-0.002563058	0.05
37.97069	-117.9175	-0.01759243	0.05
37.97971	-117.9289	-0.02027545	0.05
37.9797	-117.9175	-0.01523164	0.05
37.97969	-117.9061	-0.009672067	0.05
37.97969	-117.9004	-0.005640764	0.05
37.98871	-117.9175	-0.009104329	0.05
37.99321	-117.9175	-0.003651452	0.05
37.99095	-117.9032	-0.002515924	0.05
37.98192	-117.8776	-0.0006817227	0.05
37.94125	-117.7895	0.0004693753	0.05
37.88437	-117.5766	-2.61497e-05	0.05
38.22263	-118.2884	0.0008234022	0.05
38.22264	-117.7174	-0.0001937975	0.05
