       latitude      longitude observation     resiual  prediction  correction
       34.91734      137.15239    -0.01020     0.00044    -0.01064     0.00000
       36.75795      137.15447     0.00700    -0.00904     0.01604     0.00000
       35.61209      137.17414     0.01830     0.02136    -0.00306     0.00000
       36.63434      137.19520     0.00130    -0.01235     0.01365     0.00000
       35.91163      137.20067    -0.00520    -0.00630     0.00110     0.00000
       36.47280      137.23922    -0.02120    -0.03170     0.01050     0.00000
       35.80048      137.24837    -0.00270    -0.00174    -0.00096     0.00000
       35.30055      137.25232    -0.00300     0.00467    -0.00767     0.00000
       35.13875      137.25356    -0.01110    -0.00164    -0.00946     0.00000
       37.44603      137.27005     0.00420    -0.02482     0.02902     0.00000
       34.64866      137.27784    -0.00290     0.01110    -0.01400     0.00000
       34.91975      137.29994    -0.02310    -0.01105    -0.01205     0.00000
       35.52313      137.30909     0.00120     0.00663    -0.00543     0.00000
       35.03946      137.31316     0.01850     0.02956    -0.01106     0.00000
       34.78591      137.33877    -0.00270     0.01088    -0.01358     0.00000
       36.13599      137.34791    -0.01700    -0.02079     0.00379     0.00000
       36.28564      137.36302    -0.00270    -0.00911     0.00641     0.00000
       36.73696      137.36951     0.00010    -0.01509     0.01519     0.00000
       35.26197      137.40561    -0.02500    -0.01537    -0.00963     0.00000
       34.96748      137.42313    -0.00710     0.00579    -0.01289     0.00000
       35.65719      137.42477    -0.01560    -0.01096    -0.00464     0.00000
       34.86482      137.43400     0.00400     0.01793    -0.01393     0.00000
       36.57871      137.43990     0.00420    -0.00753     0.01173     0.00000
       34.68038      137.44245     0.01770     0.03318    -0.01548     0.00000
       35.81555      137.45088    -0.01380    -0.01134    -0.00246     0.00000
       35.39676      137.46757     0.00830     0.01695    -0.00865     0.00000
       36.92896      137.48723     0.01870    -0.00026     0.01896     0.00000
       34.71805      137.51493    -0.02240    -0.00640    -0.01600     0.00000
       35.57509      137.52878    -0.04560    -0.03871    -0.00689     0.00000
       35.97346      137.53487     0.00450     0.00507    -0.00057     0.00000
       36.86434      137.55133     0.01390    -0.00353     0.01743     0.00000
       34.80873      137.55434     0.00290     0.01864    -0.01574     0.00000
       35.10002      137.57533    -0.02700    -0.01370    -0.01330     0.00000
       34.93768      137.57549     0.01850     0.03338    -0.01488     0.00000
       35.24700      137.58767    -0.00180     0.01002    -0.01182     0.00000
       35.88000      137.59827    -0.00520    -0.00239    -0.00281     0.00000
       35.66123      137.62016     0.01090     0.01750    -0.00660     0.00000
       34.70212      137.63688     0.04780     0.06533    -0.01753     0.00000
       34.83533      137.67234     0.01650     0.03343    -0.01693     0.00000
       35.34373      137.67640     0.00220     0.01391    -0.01171     0.00000
       34.75204      137.68078     0.01300     0.03069    -0.01769     0.00000
       36.08466      137.68263    -0.00750    -0.00758     0.00008     0.00000
       35.07929      137.69524     0.01610     0.03107    -0.01497     0.00000
       35.78362      137.69626     0.00820     0.01370    -0.00550     0.00000
       34.67231      137.72338    -0.00250     0.01630    -0.01880     0.00000
       35.94460      137.78544    -0.00340     0.00027    -0.00367     0.00000
       34.79284      137.79179     0.04210     0.06089    -0.01879     0.00000
       35.77753      137.81448     0.04250     0.04951    -0.00701     0.00000
       35.52109      137.81524    -0.01630    -0.00522    -0.01108     0.00000
       34.94134      137.81794     0.00910     0.02699    -0.01789     0.00000
       34.67188      137.82342     0.04110     0.06117    -0.02007     0.00000
       36.49977      137.85112    -0.00500    -0.01244     0.00744     0.00000
       35.16045      137.86876    -0.00730     0.00911    -0.01641     0.00000
       36.22837      137.87175     0.02560     0.02452     0.00108     0.00000
       36.70647      137.87233     0.00940    -0.00290     0.01230     0.00000
