       latitude      longitude observation     resiual  prediction  correction
       34.29293      136.00264     0.03540    -0.03959     0.07499    -0.08919
       35.08572      136.04120     0.05440    -0.05150     0.10590    -0.09020
       34.71065      136.04189     0.03590    -0.05446     0.09036    -0.08973
       36.10973      136.04895     0.10030    -0.05580     0.15610    -0.09148
       34.56703      136.05039     0.03800    -0.04695     0.08495    -0.08954
       35.46629      136.05367     0.06040    -0.06325     0.12365    -0.09068
       34.86933      136.05483     0.03740    -0.05946     0.09686    -0.08994
       35.83684      136.05598     0.07780    -0.06438     0.14218    -0.09115
       35.31897      136.06283     0.06710    -0.04972     0.11682    -0.09049
       35.60256      136.10581     0.06500    -0.06653     0.13153    -0.09085
       34.98638      136.14504     0.04870    -0.05424     0.10294    -0.09007
       35.09473      136.15823     0.06010    -0.04788     0.10798    -0.09020
       36.23117      136.17297     0.10410    -0.06300     0.16710    -0.09162
       34.49387      136.17315     0.02480    -0.05828     0.08308    -0.08943
       34.74287      136.18345     0.03140    -0.06157     0.09297    -0.08976
       35.96889      136.18499     0.08300    -0.07004     0.15304    -0.09129
       35.79278      136.19739     0.07440    -0.06942     0.14382    -0.09107
       35.55733      136.19795     0.06820    -0.06315     0.13135    -0.09077
       34.06066      136.19836     0.04310    -0.02509     0.06819    -0.08888
       35.26944      136.23561     0.06510    -0.05241     0.11751    -0.09042
       35.42036      136.26475     0.07990    -0.04579     0.12569    -0.09060
       36.14562      136.27894     0.11710    -0.04916     0.16626    -0.09150
       34.93073      136.29557     0.05540    -0.04691     0.10231    -0.08998
       34.64875      136.32976     0.03880    -0.05155     0.09035    -0.08961
       34.43314      136.33426     0.03370    -0.04806     0.08176    -0.08934
       35.88822      136.33958     0.08070    -0.07268     0.15338    -0.09117
       34.20816      136.34293     0.04260    -0.03095     0.07355    -0.08905
       36.22956      136.36165     0.10800    -0.06643     0.17443    -0.09159
       34.29793      136.38849     0.02940    -0.04755     0.07695    -0.08915
       36.39446      136.38894     0.11250    -0.07311     0.18561    -0.09178
       34.85490      136.39326     0.06300    -0.03695     0.09995    -0.08986
       34.60333      136.43194     0.04650    -0.04273     0.08923    -0.08954
       35.35973      136.47031     0.09070    -0.03588     0.12658    -0.09049
       34.42033      136.47446     0.03700    -0.04501     0.08201    -0.08930
       35.63615      136.48877     0.07380    -0.06903     0.14283    -0.09084
       34.75900      136.50229     0.06450    -0.03215     0.09665    -0.08973
       35.10476      136.50376     0.05680    -0.05672     0.11352    -0.09017
       35.98491      136.50492     0.09550    -0.06925     0.16475    -0.09128
