       latitude      longitude observation     resiual  prediction  correction
       34.29293      136.00264     0.00460    -0.01058     0.01518     0.01162
       35.08572      136.04120     0.01580    -0.00227     0.01807     0.01169
       34.71065      136.04189     0.01950     0.00248     0.01702     0.01169
       36.10973      136.04895     0.02040     0.00448     0.01592     0.01170
       34.56703      136.05039     0.01800     0.00152     0.01648     0.01170
       35.46629      136.05367     0.03150     0.01312     0.01838     0.01171
       34.86933      136.05483     0.01730    -0.00029     0.01759     0.01171
       35.83684      136.05598     0.00320    -0.01431     0.01751     0.01171
       35.31897      136.06283     0.00070    -0.01775     0.01845     0.01173
       35.60256      136.10581     0.02140     0.00291     0.01849     0.01181
       34.98638      136.14504     0.02900     0.01072     0.01828     0.01189
       35.09473      136.15823     0.01630    -0.00230     0.01860     0.01191
       36.23117      136.17297     0.01970     0.00402     0.01568     0.01194
       34.49387      136.17315     0.01320    -0.00329     0.01649     0.01194
       34.74287      136.18345     0.02880     0.01120     0.01760     0.01196
       35.96889      136.18499     0.01350    -0.00414     0.01764     0.01196
       35.79278      136.19739     0.02240     0.00387     0.01853     0.01199
       35.55733      136.19795     0.02920     0.01011     0.01909     0.01199
       34.06066      136.19836     0.02990     0.01558     0.01432     0.01199
       35.26944      136.23561     0.01750    -0.00177     0.01927     0.01206
       35.42036      136.26475     0.01060    -0.00894     0.01954     0.01212
       36.14562      136.27894     0.02400     0.00694     0.01706     0.01215
       34.93073      136.29557     0.01100    -0.00771     0.01871     0.01218
       34.64875      136.32976     0.02000     0.00235     0.01765     0.01224
       34.43314      136.33426     0.02410     0.00754     0.01656     0.01226
       35.88822      136.33958     0.02730     0.00825     0.01905     0.01227
       34.20816      136.34293    -0.00870    -0.02403     0.01533     0.01227
       36.22956      136.36165     0.02780     0.01091     0.01689     0.01231
       34.29793      136.38849    -0.00090    -0.01682     0.01592     0.01237
       36.39446      136.38894     0.00530    -0.01005     0.01535     0.01237
       34.85490      136.39326     0.01210    -0.00670     0.01880     0.01237
       34.60333      136.43194     0.00500    -0.01272     0.01772     0.01244
       35.35973      136.47031     0.01950    -0.00116     0.02066     0.01252
       34.42033      136.47446     0.02070     0.00390     0.01680     0.01252
       35.63615      136.48877     0.04270     0.02192     0.02078     0.01257
       34.75900      136.50229     0.00640    -0.01235     0.01875     0.01259
       35.10476      136.50376     0.04840     0.02817     0.02023     0.01259
       35.98491      136.50492     0.04050     0.02080     0.01970     0.01259
       34.28507      136.54048     0.00860    -0.00749     0.01609     0.01265
       36.53727      136.54067     0.01740     0.00294     0.01446     0.01265
       35.48006      136.54529     0.01680    -0.00441     0.02121     0.01266
       35.37171      136.54974     0.02500     0.00387     0.02113     0.01268
       34.54705      136.55066     0.02070     0.00298     0.01772     0.01268
       35.22791      136.59344     0.02180     0.00073     0.02107     0.01276
       36.37007      136.60533     0.01790     0.00079     0.01711     0.01277
       35.63290      136.61139     0.01630    -0.00531     0.02161     0.01279
       34.43144      136.62840     0.01970     0.00251     0.01719     0.01282
       36.16529      136.63395     0.02260     0.00320     0.01940     0.01284
       34.91380      136.63650     0.00720    -0.01283     0.02003     0.01285
       36.66341      136.64994     0.01490     0.00175     0.01315     0.01287
       35.90141      136.65774     0.03060     0.00934     0.02126     0.01287
       35.48832      136.68728     0.03130     0.00917     0.02213     0.01295
       34.29661      136.69319     0.02850     0.01210     0.01640     0.01295
       35.05091      136.69425     0.02230     0.00137     0.02093     0.01295
       37.15674      136.71876     0.00870     0.00625     0.00245     0.01300
       34.49000      136.72823     0.01860     0.00082     0.01778     0.01302
       35.40513      136.72875     0.02510     0.00281     0.02229     0.01302
       36.81748      136.75565     0.00560    -0.00521     0.01081     0.01307
       37.00072      136.77271     0.00530    -0.00138     0.00668     0.01311
       35.72349      136.78462     0.03220     0.00944     0.02276     0.01313
       35.30084      136.78882     0.01130    -0.01110     0.02240     0.01313
       34.37358      136.80200     0.02580     0.00869     0.01711     0.01316
       36.59209      136.80640     0.01870     0.00328     0.01542     0.01317
       34.25344      136.82061     0.02160     0.00534     0.01626     0.01319
       35.19011      136.82883     0.02070    -0.00153     0.02223     0.01320
       34.90438      136.83188     0.02800     0.00722     0.02078     0.01322
       34.46539      136.85113     0.00450    -0.01337     0.01787     0.01325
       34.98439      136.86275     0.01830    -0.00308     0.02138     0.01328
       35.86694      136.86318     0.02550     0.00247     0.02303     0.01328
       34.82336      136.86764     0.00020    -0.02021     0.02041     0.01328
       37.38238      136.88917     0.00790     0.01220    -0.00430     0.01333
       35.52607      136.90002     0.00960    -0.01405     0.02365     0.01335
       36.26147      136.90427     0.01580    -0.00492     0.02072     0.01335
       37.22644      136.90877     0.03380     0.03305     0.00075     0.01338
