       latitude      longitude observation     resiual  prediction  correction
       34.29293      136.00264    -0.00630     0.00011    -0.00641     0.00675
       35.08572      136.04120     0.02390     0.02528    -0.00138     0.00675
       34.71065      136.04189    -0.00210     0.00202    -0.00412     0.00675
       36.10973      136.04895     0.01130     0.00292     0.00838     0.00675
       34.56703      136.05039     0.00510     0.01019    -0.00509     0.00675
       35.46629      136.05367    -0.03930    -0.04115     0.00185     0.00675
       34.86933      136.05483    -0.00940    -0.00632    -0.00308     0.00675
       35.83684      136.05598     0.01130     0.00583     0.00547     0.00675
       35.31897      136.06283     0.01430     0.01381     0.00049     0.00675
       35.60256      136.10581    -0.01800    -0.02096     0.00296     0.00675
       34.98638      136.14504     0.00710     0.00975    -0.00265     0.00675
       35.09473      136.15823    -0.01630    -0.01445    -0.00185     0.00675
       36.23117      136.17297    -0.02600    -0.03554     0.00954     0.00675
       34.49387      136.17315    -0.00130     0.00489    -0.00619     0.00675
       34.74287      136.18345     0.03180     0.03644    -0.00464     0.00675
       35.96889      136.18499    -0.01630    -0.02284     0.00654     0.00675
       35.79278      136.19739    -0.02670    -0.03129     0.00459     0.00675
       35.55733      136.19795    -0.02300    -0.02517     0.00217     0.00675
       34.06066      136.19836     0.02150     0.03011    -0.00861     0.00675
       35.26944      136.23561     0.01320     0.01392    -0.00072     0.00675
       35.42036      136.26475    -0.00420    -0.00475     0.00055     0.00675
       36.14562      136.27894    -0.01430    -0.02264     0.00834     0.00675
       34.93073      136.29557    -0.01440    -0.01053    -0.00387     0.00675
       34.64875      136.32976    -0.01290    -0.00680    -0.00610     0.00675
       34.43314      136.33426    -0.01900    -0.01152    -0.00748     0.00675
       35.88822      136.33958     0.00560     0.00042     0.00518     0.00675
       34.20816      136.34293     0.02280     0.03156    -0.00876     0.00675
       36.22956      136.36165    -0.02530    -0.03449     0.00919     0.00675
       34.29793      136.38849    -0.02030    -0.01173    -0.00857     0.00675
       36.39446      136.38894    -0.01540    -0.02662     0.01122     0.00675
       34.85490      136.39326    -0.01040    -0.00539    -0.00501     0.00675
       34.60333      136.43194     0.01330     0.02032    -0.00702     0.00675
       35.35973      136.47031    -0.02950    -0.02845    -0.00105     0.00675
       34.42033      136.47446    -0.00340     0.00503    -0.00843     0.00675
       35.63615      136.48877     0.05130     0.04955     0.00175     0.00675
       34.75900      136.50229    -0.03040    -0.02401    -0.00639     0.00675
       35.10476      136.50376    -0.00800    -0.00438    -0.00362     0.00675
       35.98491      136.50492     0.02310     0.01734     0.00576     0.00675
       34.28507      136.54048     0.03430     0.04391    -0.00961     0.00675
       36.53727      136.54067     0.01590     0.00297     0.01293     0.00675
       35.48006      136.54529     0.02050     0.02072    -0.00022     0.00675
       35.37171      136.54974     0.00080     0.00216    -0.00136     0.00675
       34.54705      136.55066     0.01600     0.02415    -0.00815     0.00675
       35.22791      136.59344    -0.01940    -0.01637    -0.00303     0.00675
       36.37007      136.60533     0.00520    -0.00533     0.01053     0.00675
       35.63290      136.61139     0.01150     0.01039     0.00111     0.00675
       34.43144      136.62840    -0.03200    -0.02261    -0.00939     0.00675
       36.16529      136.63395    -0.01150    -0.01916     0.00766     0.00675
       34.91380      136.63650    -0.01020    -0.00413    -0.00607     0.00675
       36.66341      136.64994    -0.00680    -0.02143     0.01463     0.00675
       35.90141      136.65774    -0.01980    -0.02392     0.00412     0.00675
       35.48832      136.68728     0.01320     0.01412    -0.00092     0.00675
       34.29661      136.69319     0.02450     0.03510    -0.01060     0.00675
       35.05091      136.69425     0.00060     0.00590    -0.00530     0.00675
       37.15674      136.71876    -0.01490    -0.03678     0.02188     0.00675
       34.49000      136.72823    -0.00830     0.00145    -0.00975     0.00675
       35.40513      136.72875     0.00540     0.00747    -0.00207     0.00675
       36.81748      136.75565    -0.00630    -0.02318     0.01688     0.00675
       37.00072      136.77271     0.01330    -0.00637     0.01967     0.00675
       35.72349      136.78462    -0.00860    -0.00987     0.00127     0.00675
       35.30084      136.78882    -0.00200     0.00155    -0.00355     0.00675
       34.37358      136.80200     0.03530     0.04628    -0.01098     0.00675
       36.59209      136.80640    -0.00260    -0.01601     0.01341     0.00675
       34.25344      136.82061    -0.00550     0.00626    -0.01176     0.00675
       35.19011      136.82883     0.00240     0.00734    -0.00494     0.00675
       34.90438      136.83188    -0.00580     0.00174    -0.00754     0.00675
       34.46539      136.85113    -0.01660    -0.00578    -0.01082     0.00675
       34.98439      136.86275    -0.00230     0.00479    -0.00709     0.00675
       35.86694      136.86318    -0.03590    -0.03858     0.00268     0.00675
       34.82336      136.86764     0.01240     0.02086    -0.00846     0.00675
       37.38238      136.88917    -0.01060    -0.03631     0.02571     0.00675
       35.52607      136.90002     0.00630     0.00812    -0.00182     0.00675
       36.26147      136.90427     0.01680     0.00868     0.00812     0.00675
       37.22644      136.90877     0.01440    -0.00899     0.02339     0.00675
       37.85050      136.91927     0.01930    -0.01302     0.03232     0.00675
       36.40188      136.92056     0.01670     0.00648     0.01022     0.00675
       35.33476      136.92998    -0.02220    -0.01802    -0.00418     0.00675
       34.74005      136.93848     0.01190     0.02156    -0.00966     0.00675
       36.03305      136.95276     0.00560     0.00107     0.00453     0.00675
       35.16842      136.96580    -0.01600    -0.00983    -0.00617     0.00675
       35.75778      136.97530    -0.00040    -0.00098     0.00058     0.00675
       34.54391      136.98175     0.04120     0.05257    -0.01137     0.00675
       37.12316      136.99607     0.00770    -0.01423     0.02193     0.00675
       36.74062      136.99613    -0.01160    -0.02716     0.01556     0.00675
       36.91951      137.02643    -0.02380    -0.04235     0.01855     0.00675
       36.64956      137.03190    -0.01210    -0.02608     0.01398     0.00675
       37.43226      137.03394     0.01280    -0.01422     0.02702     0.00675
