       latitude      longitude observation     resiual  prediction  correction
       34.29293      136.00264     0.03540    -0.03957     0.07497    -0.09190
       35.08572      136.04120     0.05440    -0.05145     0.10585    -0.09190
       34.71065      136.04189     0.03590    -0.05442     0.09032    -0.09190
       36.10973      136.04895     0.10030    -0.05571     0.15601    -0.09190
       34.56703      136.05039     0.03800    -0.04692     0.08492    -0.09190
       35.46629      136.05367     0.06040    -0.06319     0.12359    -0.09190
       34.86933      136.05483     0.03740    -0.05943     0.09683    -0.09190
       35.83684      136.05598     0.07780    -0.06431     0.14211    -0.09190
       35.31897      136.06283     0.06710    -0.04967     0.11677    -0.09190
       35.60256      136.10581     0.06500    -0.06646     0.13146    -0.09190
       34.98638      136.14504     0.04870    -0.05420     0.10290    -0.09190
       35.09473      136.15823     0.06010    -0.04784     0.10794    -0.09190
       36.23117      136.17297     0.10410    -0.06290     0.16700    -0.09190
       34.49387      136.17315     0.02480    -0.05825     0.08305    -0.09190
       34.74287      136.18345     0.03140    -0.06154     0.09294    -0.09190
       35.96889      136.18499     0.08300    -0.06996     0.15296    -0.09190
       35.79278      136.19739     0.07440    -0.06935     0.14375    -0.09190
       35.55733      136.19795     0.06820    -0.06309     0.13129    -0.09190
       34.06066      136.19836     0.04310    -0.02507     0.06817    -0.09190
       35.26944      136.23561     0.06510    -0.05236     0.11746    -0.09190
       35.42036      136.26475     0.07990    -0.04574     0.12564    -0.09190
       36.14562      136.27894     0.11710    -0.04907     0.16617    -0.09190
       34.93073      136.29557     0.05540    -0.04687     0.10227    -0.09190
       34.64875      136.32976     0.03880    -0.05152     0.09032    -0.09190
       34.43314      136.33426     0.03370    -0.04804     0.08174    -0.09190
       35.88822      136.33958     0.08070    -0.07261     0.15331    -0.09190
       34.20816      136.34293     0.04260    -0.03093     0.07353    -0.09190
       36.22956      136.36165     0.10800    -0.06634     0.17434    -0.09190
       34.29793      136.38849     0.02940    -0.04753     0.07693    -0.09190
       36.39446      136.38894     0.11250    -0.07300     0.18550    -0.09190
       34.85490      136.39326     0.06300    -0.03692     0.09992    -0.09190
       34.60333      136.43194     0.04650    -0.04271     0.08921    -0.09190
       35.35973      136.47031     0.09070    -0.03583     0.12653    -0.09190
       34.42033      136.47446     0.03700    -0.04499     0.08199    -0.09190
       35.63615      136.48877     0.07380    -0.06898     0.14278    -0.09190
       34.75900      136.50229     0.06450    -0.03212     0.09662    -0.09190
       35.10476      136.50376     0.05680    -0.05668     0.11348    -0.09190
       35.98491      136.50492     0.09550    -0.06917     0.16467    -0.09190
       34.28507      136.54048     0.03600    -0.04104     0.07704    -0.09190
       36.53727      136.54067     0.11190    -0.09003     0.20193    -0.09190
       35.48006      136.54529     0.08300    -0.05195     0.13495    -0.09190
       35.37171      136.54974     0.07230    -0.05649     0.12879    -0.09190
       34.54705      136.55066     0.04850    -0.03913     0.08763    -0.09190
       35.22791      136.59344     0.06220    -0.05931     0.12151    -0.09190
       36.37007      136.60533     0.12770    -0.06642     0.19412    -0.09190
       35.63290      136.61139     0.08290    -0.06291     0.14581    -0.09190
       34.43144      136.62840     0.04380    -0.03941     0.08321    -0.09190
       36.16529      136.63395     0.11960    -0.06192     0.18152    -0.09190
       34.91380      136.63650     0.04590    -0.05954     0.10544    -0.09190
       36.66341      136.64994     0.14190    -0.07451     0.21641    -0.09190
       35.90141      136.65774     0.08770    -0.07689     0.16459    -0.09190
       35.48832      136.68728     0.08500    -0.05370     0.13870    -0.09190
       34.29661      136.69319     0.02880    -0.04920     0.07800    -0.09190
       35.05091      136.69425     0.04690    -0.06644     0.11334    -0.09190
       37.15674      136.71876     0.16770    -0.08564     0.25334    -0.09190
       34.49000      136.72823     0.04440    -0.04179     0.08619    -0.09190
       35.40513      136.72875     0.08250    -0.05198     0.13448    -0.09190
       36.81748      136.75565     0.15610    -0.07757     0.23367    -0.09190
       37.00072      136.77271     0.15780    -0.08961     0.24741    -0.09190
       35.72349      136.78462     0.09600    -0.06064     0.15664    -0.09190
       35.30084      136.78882     0.07610    -0.05318     0.12928    -0.09190
       34.37358      136.80200     0.04040    -0.04111     0.08151    -0.09190
       36.59209      136.80640     0.14770    -0.07304     0.22074    -0.09190
       34.25344      136.82061     0.03320    -0.04342     0.07662    -0.09190
       35.19011      136.82883     0.06730    -0.05600     0.12330    -0.09190
       34.90438      136.83188     0.04660    -0.06052     0.10712    -0.09190
       34.46539      136.85113     0.02740    -0.05828     0.08568    -0.09190
       34.98439      136.86275     0.05030    -0.06156     0.11186    -0.09190
       35.86694      136.86318     0.08830    -0.08104     0.16934    -0.09190
       34.82336      136.86764     0.03040    -0.07277     0.10317    -0.09190
       37.38238      136.88917     0.19400    -0.08755     0.28155    -0.09190
       35.52607      136.90002     0.07670    -0.06959     0.14629    -0.09190
       36.26147      136.90427     0.12660    -0.07436     0.20096    -0.09190
       37.22644      136.90877     0.18800    -0.08547     0.27347    -0.09190
       37.85050      136.91927     0.21540    -0.09301     0.30841    -0.09190
       36.40188      136.92056     0.13500    -0.07784     0.21284    -0.09190
       35.33476      136.92998     0.08030    -0.05387     0.13417    -0.09190
       34.74005      136.93848     0.04880    -0.05063     0.09943    -0.09190
       36.03305      136.95276     0.11960    -0.06573     0.18533    -0.09190
       35.16842      136.96580     0.08430    -0.03989     0.12419    -0.09190
       35.75778      136.97530     0.09140    -0.07366     0.16506    -0.09190
       34.54391      136.98175     0.03170    -0.05821     0.08991    -0.09190
       37.12316      136.99607     0.18040    -0.09357     0.27397    -0.09190
       36.74062      136.99613     0.15670    -0.08797     0.24467    -0.09190
       36.91951      137.02643     0.17630    -0.08486     0.26116    -0.09190
       36.64956      137.03190     0.16970    -0.07009     0.23979    -0.09190
       37.43226      137.03394     0.21380    -0.08474     0.29854    -0.09190
       35.12811      137.04128     0.06510    -0.05772     0.12282    -0.09190
       34.99499      137.05978     0.06830    -0.04656     0.11486    -0.09190
       34.60924      137.06807     0.03790    -0.05567     0.09357    -0.09190
       35.23909      137.07357     0.06170    -0.06884     0.13054    -0.09190
       36.14026      137.08053     0.11450    -0.08527     0.19977    -0.09190
       35.36737      137.11023     0.07530    -0.06476     0.14006    -0.09190
       34.79487      137.11900     0.04910    -0.05471     0.10381    -0.09190
       35.47870      137.12469     0.08070    -0.06775     0.14845    -0.09190
       37.30697      137.13854     0.19260    -0.10807     0.30067    -0.09190
       36.33551      137.14717     0.15050    -0.06966     0.22016    -0.09190
       34.91734      137.15239     0.06110    -0.05012     0.11122    -0.09190
       36.75795      137.15447     0.16970    -0.08825     0.25795    -0.09190
       35.61209      137.17414     0.09330    -0.06664     0.15994    -0.09190
       36.63434      137.19520     0.15980    -0.09027     0.25007    -0.09190
       35.91163      137.20067     0.12020    -0.06536     0.18556    -0.09190
