lat_deg   lon_deg   depth_km  length_km width_km  strike_degdip_deg
   31.4548  103.4327     21.25    4.5762    5.3626  226.3156   27.7876
   31.4797   103.391     23.75    4.5756    5.3624  226.3297   27.7888
   31.5047  103.3493     26.25    4.5749    5.3622  226.3437   27.7899
   31.5296  103.3075     28.75    4.5743     5.362  226.3578    27.791
   31.2203  103.7373      1.25    4.9377    5.3797  205.3432   27.6913
   31.2453  103.6958      3.75    4.9374    5.3799   205.359   27.6902
   31.2704  103.6542      6.25    4.9372    5.3801  205.3748    27.689
   31.2954  103.6126      8.75     4.937    5.3803  205.3906   27.6879
   31.3205   103.571     11.25    4.9367    5.3805  205.4064   27.6868
   31.3455  103.5293     13.75    4.9365    5.3807  205.4222   27.6857
   31.3705  103.4877     16.25    4.9363    5.3809  205.4381   27.6845
   31.3955   103.446     18.75     4.936    5.3811  205.4539   27.6834
   31.4204  103.4043     21.25    4.9358    5.3813  205.4697   27.6823
   31.4454  103.3625     23.75    4.9356    5.3815  205.4855   27.6812
   31.4703  103.3208     26.25    4.9353    5.3817  205.5013   27.6801
   31.4953   103.279     28.75    4.9351    5.3819  205.5171   27.6789
   31.1827  103.7162      1.25     4.333    5.3917    206.22   27.6243
   31.2078  103.6746      3.75    4.3327    5.3919  206.2356   27.6233
   31.2328   103.633      6.25    4.3325    5.3921  206.2512   27.6223
   31.2579  103.5914      8.75    4.3323    5.3923  206.2669   27.6212
   31.2829  103.5498     11.25    4.3321    5.3925  206.2825   27.6202
   31.3079  103.5082     13.75    4.3319    5.3927  206.2982   27.6192
   31.3329  103.4665     16.25    4.3316    5.3928  206.3138   27.6182
   31.3579  103.4248     18.75    4.3314     5.393  206.3295   27.6172
   31.3829  103.3831     21.25    4.3312    5.3932  206.3452   27.6162
   31.4078  103.3414     23.75     4.331    5.3934  206.3608   27.6152
   31.4328  103.2996     26.25    4.3308    5.3936  206.3765   27.6142
   31.4577  103.2578     28.75    4.3306    5.3937  206.3921   27.6132
   31.1522  103.6865      1.25    4.7224    5.2619  232.0579   28.3665
   31.1772   103.645      3.75    4.7216    5.2616  232.0721   28.3683
   31.2023  103.6034      6.25    4.7208    5.2613  232.0864   28.3701
   31.2273  103.5618      8.75      4.72     5.261  232.1006   28.3719
   31.2524  103.5202     11.25    4.7193    5.2607  232.1149   28.3737
   31.2774  103.4785     13.75    4.7185    5.2604  232.1291   28.3755
   31.3024  103.4369     16.25    4.7177    5.2601  232.1434   28.3773
   31.3274  103.3952     18.75    4.7169    5.2598  232.1576   28.3791
   31.3523  103.3535     21.25    4.7162    5.2595  232.1719    28.381
   31.3773  103.3117     23.75    4.7154    5.2592  232.1862   28.3828
   31.4022    103.27     26.25    4.7146    5.2589  232.2004   28.3846
   31.4272  103.2282     28.75    4.7139    5.2586  232.2147   28.3864
   31.1233  103.6471      1.25    5.1739    5.3546  227.0767   27.8324
   31.1483  103.6055      3.75    5.1731    5.3544  227.0908   27.8336
   31.1734  103.5639      6.25    5.1724    5.3542  227.1048   27.8348
   31.1984  103.5223      8.75    5.1717     5.354  227.1188    27.836
   31.2235  103.4807     11.25    5.1709    5.3538  227.1329   27.8372
   31.2485  103.4391     13.75    5.1702    5.3535  227.1469   27.8385
   31.2735  103.3974     16.25    5.1695    5.3533  227.1609   27.8397
   31.2985  103.3557     18.75    5.1688    5.3531   227.175   27.8409
   31.3234   103.314     21.25     5.168    5.3529  227.1891   27.8422
   31.3484  103.2723     23.75    5.1673    5.3527  227.2031   27.8434
   31.3733  103.2305     26.25    5.1666    5.3525  227.2172   27.8446
   31.3983  103.1887     28.75    5.1659    5.3522  227.2312   27.8459
   31.0947  103.6095      1.25     4.393    5.3066  229.9146   28.1063
   31.1198   103.568      3.75    4.3923    5.3064  229.9287   28.1078
   31.1448  103.5264      6.25    4.3916    5.3061  229.9428   28.1094
   31.1699  103.4848      8.75    4.3909    5.3058  229.9569   28.1109
   31.1949  103.4432     11.25    4.3903    5.3056   229.971   28.1125
   31.2199  103.4015     13.75    4.3896    5.3053  229.9852    28.114
   31.2449  103.3599     16.25    4.3889     5.305  229.9993   28.1156
   31.2699  103.3182     18.75    4.3882    5.3048  230.0134   28.1171
   31.2949  103.2765     21.25    4.3876    5.3045  230.0275   28.1187
   31.3198  103.2347     23.75    4.3869    5.3042  230.0417   28.1202
   31.3448   103.193     26.25    4.3862    5.3039  230.0558   28.1218
   31.3697  103.1512     28.75    4.3855    5.3037    230.07   28.1234
   31.0675  103.5709      1.25    5.1416    5.2814  231.2286   28.2529
   31.0925  103.5293      3.75    5.1408    5.2811  231.2428   28.2546
   31.1176  103.4877      6.25      5.14    5.2808   231.257   28.2563
   31.1426  103.4461      8.75    5.1391    5.2805  231.2711    28.258
   31.1677  103.4045     11.25    5.1383    5.2802  231.2853   28.2597
   31.1927  103.3629     13.75    5.1375    5.2799  231.2995   28.2614
   31.2177  103.3212     16.25    5.1367    5.2796  231.3136   28.2631
   31.2427  103.2795     18.75    5.1359    5.2793  231.3278   28.2648
   31.2676  103.2378     21.25    5.1351     5.279   231.342   28.2665
   31.2926  103.1961     23.75    5.1342    5.2787  231.3562   28.2682
   31.3175  103.1543     26.25    5.1334    5.2784  231.3704   28.2699
   31.3425  103.1125     28.75    5.1326    5.2781  231.3846   28.2717
   31.0384   103.532      1.25    4.6967    5.3695  226.2192   27.7486
   31.0634  103.4905      3.75    4.6961    5.3693  226.2331   27.7497
   31.0885  103.4489      6.25    4.6954    5.3691  226.2471   27.7508
   31.1135  103.4073      8.75    4.6948    5.3689  226.2611    27.752
   31.1386  103.3657     11.25    4.6942    5.3687  226.2751   27.7531
   31.1636   103.324     13.75    4.6935    5.3685  226.2891   27.7542
   31.1886  103.2824     16.25    4.6929    5.3683  226.3031   27.7554
   31.2136  103.2407     18.75    4.6922    5.3681  226.3171   27.7565
   31.2385   103.199     21.25    4.6916    5.3679  226.3312   27.7576
   31.2635  103.1572     23.75     4.691    5.3677  226.3452   27.7588
   31.2884  103.1155     26.25    4.6903    5.3675  226.3592   27.7599
   31.3134  103.0737     28.75    4.6897    5.3673  226.3732   27.7611
   31.0091  103.4971      1.25    4.6198    5.3851  225.1333   27.6615
   31.0342  103.4555      3.75    4.6192    5.3849  225.1473   27.6625
   31.0592  103.4139      6.25    4.6186    5.3847  225.1612   27.6636
   31.0843  103.3723      8.75     4.618    5.3845  225.1752   27.6646
   31.1093  103.3307     11.25    4.6174    5.3843  225.1892   27.6656
   31.1343  103.2891     13.75    4.6168    5.3842  225.2032   27.6666
   31.1593  103.2474     16.25    4.6162     5.384  225.2172   27.6676
   31.1843  103.2057     18.75    4.6156    5.3838  225.2312   27.6686
   31.2093   103.164     21.25     4.615    5.3836  225.2452   27.6697
   31.2342  103.1223     23.75    4.6144    5.3834  225.2592   27.6707
   31.2592  103.0805     26.25    4.6138    5.3832  225.2732   27.6717
   31.2841  103.0387     28.75    4.6132    5.3831  225.2872   27.6727
   30.9794  103.4595      1.25    5.1231    5.3204  229.3213   28.0269
   31.0045   103.418      3.75    5.1224    5.3202  229.3353   28.0283
   31.0295  103.3764      6.25    5.1216    5.3199  229.3494   28.0298
   31.0546  103.3348      8.75    5.1208    5.3197  229.3634   28.0313
   31.0796  103.2932     11.25    5.1201    5.3194  229.3775   28.0328
   31.1046  103.2515     13.75    5.1193    5.3192  229.3915   28.0342
   31.1296  103.2099     16.25    5.1185    5.3189  229.4056   28.0357
   31.1546  103.1682     18.75    5.1178    5.3186  229.4196   28.0372
   31.1796  103.1265     21.25     5.117    5.3184  229.4337   28.0387
   31.2045  103.0847     23.75    5.1162    5.3181  229.4478   28.0402
   31.2295   103.043     26.25    5.1155    5.3179  229.4619   28.0417
   31.2544  103.0012     28.75    5.1147    5.3176  229.4759   28.0431
   30.9491   103.422      1.25    4.7222    5.4022  223.8511   27.5662
   30.9741  103.3805      3.75    4.7216    5.4021   223.865   27.5671
   30.9992  103.3389      6.25     4.721    5.4019   223.879   27.5679
   31.0242  103.2973      8.75    4.7205    5.4017   223.893   27.5688
   31.0493  103.2557     11.25    4.7199    5.4016  223.9069   27.5697
   31.0743   103.214     13.75    4.7193    5.4014  223.9209   27.5706
   31.0993  103.1723     16.25    4.7187    5.4013  223.9349   27.5715
   31.1243  103.1307     18.75    4.7181    5.4011  223.9489   27.5724
   31.1492  103.0889     21.25    4.7175    5.4009  223.9629   27.5733
   31.1742  103.0472     23.75    4.7169    5.4008  223.9769   27.5741
   31.1991  103.0055     26.25    4.7163    5.4006  223.9908    27.575
   31.2241  102.9637     28.75    4.7157    5.4005  224.0048   27.5759
   30.9189  103.3861      1.25    4.8694    5.3566  227.2806   27.8213
    30.944  103.3446      3.75    4.8687    5.3564  227.2946   27.8225
    30.969   103.303      6.25     4.868    5.3561  227.3086   27.8238
   30.9941  103.2614      8.75    4.8674    5.3559  227.3225    27.825
   31.0191  103.2198     11.25    4.8667    5.3557  227.3365   27.8262
   31.0441  103.1781     13.75     4.866    5.3555  227.3505   27.8275
   31.0691  103.1365     16.25    4.8653    5.3553  227.3645   27.8287
   31.0941  103.0948     18.75    4.8646     5.355  227.3785     27.83
