       latitude      longitude observation     resiual  prediction     u_north      u_east        u_up
       37.93467     -117.95730    -0.01940    -0.00210    -0.01730     0.00518    -0.00486    -0.02529
       37.93242     -117.94030    -0.01401    -0.00034    -0.01367     0.00446    -0.00582    -0.02048
       37.91436     -117.89770    -0.00267     0.00264    -0.00531     0.00171    -0.00442    -0.00820
       37.94819     -117.99150    -0.03345    -0.00368    -0.02977     0.00572    -0.00106    -0.04042
       37.95270     -117.99150    -0.03891    -0.00573    -0.03318     0.00507    -0.00104    -0.04413
       37.94369     -117.98010    -0.03050    -0.00497    -0.02552     0.00591    -0.00284    -0.03557
       37.95270     -117.97440    -0.03512    -0.00419    -0.03093     0.00506    -0.00425    -0.04177
       37.96171     -117.99150    -0.04396    -0.00365    -0.04031     0.00266    -0.00096    -0.05116
       37.96621     -117.97440    -0.04479    -0.00352    -0.04127     0.00157    -0.00529    -0.05211
       37.94819     -117.95730    -0.02830    -0.00416    -0.02414     0.00535    -0.00639    -0.03393
       37.94367     -117.93460    -0.01931    -0.00298    -0.01633     0.00476    -0.00779    -0.02417
       37.95269     -117.94600    -0.02609    -0.00258    -0.02350     0.00489    -0.00832    -0.03307
       37.96621     -117.96300    -0.04161    -0.00375    -0.03786     0.00197    -0.00786    -0.04854
       37.95719     -117.93460    -0.02397    -0.00226    -0.02172     0.00422    -0.01008    -0.03064
       37.96619     -117.93460    -0.02813    -0.00297    -0.02516     0.00255    -0.01163    -0.03388
       37.97072     -117.99720    -0.04790    -0.00142    -0.04648    -0.00125     0.00046    -0.05583
       37.97072     -117.99150    -0.04711    -0.00052    -0.04659    -0.00097    -0.00099    -0.05633
       37.97973     -117.99720    -0.04285     0.00646    -0.04932    -0.00436    -0.00019    -0.05722
       37.97747     -117.97440    -0.04246     0.00638    -0.04884    -0.00238    -0.00651    -0.05878
       37.97747     -117.95730    -0.03692     0.00494    -0.04186    -0.00152    -0.01086    -0.05137
       37.97070     -117.93460    -0.02755    -0.00126    -0.02628     0.00124    -0.01231    -0.03444
       37.97971     -117.94020    -0.02953     0.00044    -0.02997    -0.00168    -0.01292    -0.03700
       37.94817     -117.92320    -0.01548    -0.00059    -0.01489     0.00421    -0.00905    -0.02218
       37.94816     -117.90610    -0.00835     0.00228    -0.01064     0.00300    -0.00903    -0.01615
       37.95943     -117.92030    -0.01767    -0.00058    -0.01709     0.00325    -0.01100    -0.02444
       37.96167     -117.90610    -0.01035     0.00210    -0.01246     0.00180    -0.01074    -0.01775
       37.95489     -117.88050    -0.00256     0.00347    -0.00603     0.00072    -0.00791    -0.00882
       37.97069     -117.91750    -0.01759    -0.00049    -0.01711     0.00060    -0.01194    -0.02275
       37.97971     -117.92890    -0.02028     0.00031    -0.02058    -0.00181    -0.01231    -0.02537
       37.97970     -117.91750    -0.01523    -0.00234    -0.01289    -0.00207    -0.01025    -0.01555
       37.97969     -117.90610    -0.00967    -0.00168    -0.00799    -0.00186    -0.00816    -0.00946
       37.97969     -117.90040    -0.00564     0.00057    -0.00621    -0.00170    -0.00729    -0.00729
       37.98871     -117.91750    -0.00910    -0.01187     0.00276     0.00144    -0.00233     0.00210
       37.99321     -117.91750    -0.00365    -0.01285     0.00920     0.00672     0.00157     0.00678
       37.99095     -117.90320    -0.00252    -0.00640     0.00388     0.00215    -0.00082     0.00316
       37.98192     -117.87760    -0.00068     0.00039    -0.00108    -0.00075    -0.00386    -0.00127
       37.94125     -117.78950     0.00047     0.00091    -0.00044    -0.00025    -0.00214    -0.00062
       37.88437     -117.57660    -0.00003    -0.00015     0.00012    -0.00014    -0.00024     0.00021
       38.22263     -118.28840     0.00082    -0.00038     0.00120     0.00166    -0.00081     0.00022
       38.22264     -117.71740    -0.00019    -0.00116     0.00097     0.00150     0.00073     0.00024
