       latitude      longitude observation     resiual  prediction  correction
       34.29293      136.00264     0.03540    -0.03389     0.06929     0.00000
       35.08572      136.04120     0.05440    -0.04342     0.09782     0.00000
       34.71065      136.04189     0.03590    -0.04756     0.08346     0.00000
       36.10973      136.04895     0.10030    -0.04409     0.14439     0.00000
       34.56703      136.05039     0.03800    -0.04046     0.07846     0.00000
       35.46629      136.05367     0.06040    -0.05385     0.11425     0.00000
       34.86933      136.05483     0.03740    -0.05206     0.08946     0.00000
       35.83684      136.05598     0.07780    -0.05364     0.13144     0.00000
       35.31897      136.06283     0.06710    -0.04082     0.10792     0.00000
       35.60256      136.10581     0.06500    -0.05651     0.12151     0.00000
       34.98638      136.14504     0.04870    -0.04632     0.09502     0.00000
       35.09473      136.15823     0.06010    -0.03957     0.09967     0.00000
       36.23117      136.17297     0.10410    -0.05042     0.15452     0.00000
       34.49387      136.17315     0.02480    -0.05187     0.07667     0.00000
       34.74287      136.18345     0.03140    -0.05439     0.08579     0.00000
       35.96889      136.18499     0.08300    -0.05843     0.14143     0.00000
       35.79278      136.19739     0.07440    -0.05845     0.13285     0.00000
       35.55733      136.19795     0.06820    -0.05307     0.12127     0.00000
       34.06066      136.19836     0.04310    -0.01982     0.06292     0.00000
       35.26944      136.23561     0.06510    -0.04333     0.10843     0.00000
       35.42036      136.26475     0.07990    -0.03607     0.11597     0.00000
       36.14562      136.27894     0.11710    -0.03653     0.15363     0.00000
       34.93073      136.29557     0.05540    -0.03893     0.09433     0.00000
       34.64875      136.32976     0.03880    -0.04448     0.08328     0.00000
       34.43314      136.33426     0.03370    -0.04166     0.07536     0.00000
       35.88822      136.33958     0.08070    -0.06089     0.14159     0.00000
       34.20816      136.34293     0.04260    -0.02519     0.06779     0.00000
       36.22956      136.36165     0.10800    -0.05316     0.16116     0.00000
       34.29793      136.38849     0.02940    -0.04149     0.07089     0.00000
       36.39446      136.38894     0.11250    -0.05906     0.17156     0.00000
       34.85490      136.39326     0.06300    -0.02908     0.09208     0.00000
       34.60333      136.43194     0.04650    -0.03568     0.08218     0.00000
       35.35973      136.47031     0.09070    -0.02591     0.11661     0.00000
       34.42033      136.47446     0.03700    -0.03850     0.07550     0.00000
       35.63615      136.48877     0.07380    -0.05784     0.13164     0.00000
       34.75900      136.50229     0.06450    -0.02446     0.08896     0.00000
       35.10476      136.50376     0.05680    -0.04772     0.10452     0.00000
       35.98491      136.50492     0.09550    -0.05648     0.15198     0.00000
       34.28507      136.54048     0.03600    -0.03490     0.07090     0.00000
       36.53727      136.54067     0.11190    -0.07484     0.18674     0.00000
       35.48006      136.54529     0.08300    -0.04133     0.12433     0.00000
       35.37171      136.54974     0.07230    -0.04632     0.11862     0.00000
       34.54705      136.55066     0.04850    -0.03214     0.08064     0.00000
       35.22791      136.59344     0.06220    -0.04965     0.11185     0.00000
       36.37007      136.60533     0.12770    -0.05162     0.17932     0.00000
       35.63290      136.61139     0.08290    -0.05142     0.13432     0.00000
       34.43144      136.62840     0.04380    -0.03272     0.07652     0.00000
       36.16529      136.63395     0.11960    -0.04791     0.16751     0.00000
       34.91380      136.63650     0.04590    -0.05108     0.09698     0.00000
       36.66341      136.64994     0.14190    -0.05825     0.20015     0.00000
       35.90141      136.65774     0.08770    -0.06399     0.15169     0.00000
       35.48832      136.68728     0.08500    -0.04264     0.12764     0.00000
       34.29661      136.69319     0.02880    -0.04289     0.07169     0.00000
       35.05091      136.69425     0.04690    -0.05731     0.10421     0.00000
       37.15674      136.71876     0.16770    -0.06710     0.23480     0.00000
       34.49000      136.72823     0.04440    -0.03479     0.07919     0.00000
       35.40513      136.72875     0.08250    -0.04118     0.12368     0.00000
       36.81748      136.75565     0.15610    -0.06011     0.21621     0.00000
       37.00072      136.77271     0.15780    -0.07131     0.22911     0.00000
       35.72349      136.78462     0.09600    -0.04813     0.14413     0.00000
       35.30084      136.78882     0.07610    -0.04271     0.11881     0.00000
       34.37358      136.80200     0.04040    -0.03444     0.07484     0.00000
       36.59209      136.80640     0.14770    -0.05624     0.20394     0.00000
       34.25344      136.82061     0.03320    -0.03714     0.07034     0.00000
       35.19011      136.82883     0.06730    -0.04594     0.11324     0.00000
       34.90438      136.83188     0.04660    -0.05174     0.09834     0.00000
       34.46539      136.85113     0.02740    -0.05123     0.07863     0.00000
       34.98439      136.86275     0.05030    -0.05237     0.10267     0.00000
       35.86694      136.86318     0.08830    -0.06750     0.15580     0.00000
       34.82336      136.86764     0.03040    -0.06427     0.09467     0.00000
       37.38238      136.88917     0.19400    -0.06718     0.26118     0.00000
       35.52607      136.90002     0.07670    -0.05768     0.13438     0.00000
       36.26147      136.90427     0.12660    -0.05862     0.18522     0.00000
       37.22644      136.90877     0.18800    -0.06548     0.25348     0.00000
       37.85050      136.91927     0.21540    -0.07120     0.28660     0.00000
       36.40188      136.92056     0.13500    -0.06131     0.19631     0.00000
       35.33476      136.92998     0.08030    -0.04284     0.12314     0.00000
       34.74005      136.93848     0.04880    -0.04237     0.09117     0.00000
       36.03305      136.95276     0.11960    -0.05093     0.17053     0.00000
       35.16842      136.96580     0.08430    -0.02960     0.11390     0.00000
       35.75778      136.97530     0.09140    -0.06025     0.15165     0.00000
       34.54391      136.98175     0.03170    -0.05070     0.08240     0.00000
       37.12316      136.99607     0.18040    -0.07335     0.25375     0.00000
       36.74062      136.99613     0.15670    -0.06936     0.22606     0.00000
       36.91951      137.02643     0.17630    -0.06526     0.24156     0.00000
       36.64956      137.03190     0.16970    -0.05167     0.22137     0.00000
       37.43226      137.03394     0.21380    -0.06319     0.27699     0.00000
       35.12811      137.04128     0.06510    -0.04744     0.11254     0.00000
       34.99499      137.05978     0.06830    -0.03690     0.10520     0.00000
       34.60924      137.06807     0.03790    -0.04777     0.08567     0.00000
       35.23909      137.07357     0.06170    -0.05790     0.11960     0.00000
       36.14026      137.08053     0.11450    -0.06924     0.18374     0.00000
       35.36737      137.11023     0.07530    -0.05302     0.12832     0.00000
       34.79487      137.11900     0.04910    -0.04590     0.09500     0.00000
       35.47870      137.12469     0.08070    -0.05532     0.13602     0.00000
       37.30697      137.13854     0.19260    -0.08615     0.27875     0.00000
       36.33551      137.14717     0.15050    -0.05215     0.20265     0.00000
       34.91734      137.15239     0.06110    -0.04065     0.10175     0.00000
       36.75795      137.15447     0.16970    -0.06848     0.23818     0.00000
       35.61209      137.17414     0.09330    -0.05325     0.14655     0.00000
