       latitude      longitude observation     resiual  prediction  correction
       34.29293      136.00264     0.00460    -0.00893     0.01353     0.00000
       35.08572      136.04120     0.01580    -0.00068     0.01648     0.00000
       34.71065      136.04189     0.01950     0.00416     0.01534     0.00000
       36.10973      136.04895     0.02040     0.00522     0.01518     0.00000
       34.56703      136.05039     0.01800     0.00320     0.01480     0.00000
       35.46629      136.05367     0.03150     0.01451     0.01699     0.00000
       34.86933      136.05483     0.01730     0.00137     0.01593     0.00000
       35.83684      136.05598     0.00320    -0.01325     0.01645     0.00000
       35.31897      136.06283     0.00070    -0.01626     0.01696     0.00000
       35.60256      136.10581     0.02140     0.00422     0.01718     0.00000
       34.98638      136.14504     0.02900     0.01240     0.01660     0.00000
       35.09473      136.15823     0.01630    -0.00066     0.01696     0.00000
       36.23117      136.17297     0.01970     0.00462     0.01508     0.00000
       34.49387      136.17315     0.01320    -0.00155     0.01475     0.00000
       34.74287      136.18345     0.02880     0.01294     0.01586     0.00000
       35.96889      136.18499     0.01350    -0.00318     0.01668     0.00000
       35.79278      136.19739     0.02240     0.00504     0.01736     0.00000
       35.55733      136.19795     0.02920     0.01150     0.01770     0.00000
       34.06066      136.19836     0.02990     0.01724     0.01266     0.00000
       35.26944      136.23561     0.01750    -0.00017     0.01767     0.00000
       35.42036      136.26475     0.01060    -0.00741     0.01801     0.00000
       36.14562      136.27894     0.02400     0.00769     0.01631     0.00000
       34.93073      136.29557     0.01100    -0.00595     0.01695     0.00000
       34.64875      136.32976     0.02000     0.00416     0.01584     0.00000
       34.43314      136.33426     0.02410     0.00934     0.01476     0.00000
       35.88822      136.33958     0.02730     0.00937     0.01793     0.00000
       34.20816      136.34293    -0.00870    -0.02227     0.01357     0.00000
       36.22956      136.36165     0.02780     0.01156     0.01624     0.00000
       34.29793      136.38849    -0.00090    -0.01502     0.01412     0.00000
       36.39446      136.38894     0.00530    -0.00968     0.01498     0.00000
       34.85490      136.39326     0.01210    -0.00487     0.01697     0.00000
       34.60333      136.43194     0.00500    -0.01085     0.01585     0.00000
       35.35973      136.47031     0.01950     0.00053     0.01897     0.00000
       34.42033      136.47446     0.02070     0.00577     0.01493     0.00000
       35.63615      136.48877     0.04270     0.02339     0.01931     0.00000
       34.75900      136.50229     0.00640    -0.01044     0.01684     0.00000
       35.10476      136.50376     0.04840     0.03001     0.01839     0.00000
       35.98491      136.50492     0.04050     0.02186     0.01864     0.00000
       34.28507      136.54048     0.00860    -0.00563     0.01423     0.00000
       36.53727      136.54067     0.01740     0.00305     0.01435     0.00000
       35.48006      136.54529     0.01680    -0.00277     0.01957     0.00000
       35.37171      136.54974     0.02500     0.00559     0.01941     0.00000
       34.54705      136.55066     0.02070     0.00490     0.01580     0.00000
       35.22791      136.59344     0.02180     0.00257     0.01923     0.00000
       36.37007      136.60533     0.01790     0.00123     0.01667     0.00000
       35.63290      136.61139     0.01630    -0.00377     0.02007     0.00000
       34.43144      136.62840     0.01970     0.00445     0.01525     0.00000
       36.16529      136.63395     0.02260     0.00403     0.01857     0.00000
       34.91380      136.63650     0.00720    -0.01086     0.01806     0.00000
       36.66341      136.64994     0.01490     0.00158     0.01332     0.00000
       35.90141      136.65774     0.03060     0.01059     0.02001     0.00000
       35.48832      136.68728     0.03130     0.01089     0.02041     0.00000
       34.29661      136.69319     0.02850     0.01403     0.01447     0.00000
       35.05091      136.69425     0.02230     0.00334     0.01896     0.00000
       37.15674      136.71876     0.00870     0.00483     0.00387     0.00000
       34.49000      136.72823     0.01860     0.00282     0.01578     0.00000
       35.40513      136.72875     0.02510     0.00463     0.02047     0.00000
       36.81748      136.75565     0.00560    -0.00577     0.01137     0.00000
       37.00072      136.77271     0.00530    -0.00242     0.00772     0.00000
